instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿joh_j_conroy_001,﻿Rt. Rev.,﻿John J. Conroy,﻿D.D.,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿e_p_wadhams_001,﻿Very Rev.,﻿E. P. Wadhams,﻿V.G.,﻿Rector,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿amb_m_oneil_001,﻿Rev.,﻿Ambrose M. O'Neil,,﻿Pastor of Green Island,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿jam_magee_001,﻿Rev.,﻿James Magee,,﻿Assistant,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿p_ludden_001,﻿Rev.,﻿P. Ludden,,﻿Chancellor and Secretary,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,﻿alb.ny.0001,﻿under the direct pastoral care of the Rt. Rev. Bishop,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿tho_m_burke_001,﻿Rev.,﻿Thomas M.A. Burke,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿joh_lowry_001,﻿Rev.,﻿John Lowry,,﻿Assistant,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿nic_quinn_001,﻿Rev.,﻿Nicholas Quinn,,﻿Assistant,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0003,﻿church,﻿St. Mary's,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿c_walworth_001,﻿Rev.,﻿C. Walworth,,﻿Pastor,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0003,﻿church,﻿St. Mary's,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿tho_oreilly_002,﻿Rev.,﻿Thomas O'Reilly,,﻿Assistant,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0004,﻿church,﻿St. John's,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿e_bayard_001,﻿Rev.,﻿E. Bayard,,﻿Pastor,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0004,﻿church,﻿St. John's,English,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿mat_c_devitt_001,﻿Rev.,﻿Matthew C. Devitt,,﻿Assistant,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0005,﻿church,﻿Holy Cross,﻿German and French,,,,﻿,,﻿Albany City,﻿Albany,﻿NY,,,,,,,﻿the_noethen_001,﻿Rev.,﻿Theo. Noethen,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
