instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿sam_eccleston_901,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,,1839,﻿https://americasfirstcathedral.org/history-architecture ; Baltimore Basilica - a Short History - YouTube ; https://en.wikipedia.org/wiki/Basilica_of_the_National_Shrine_of_the_Assumption_of_the_Blessed_Virgin_Mary,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,,,,,,﻿edw_damphoux_901,﻿Rev.,﻿Edward Damphoux,﻿D.D.,﻿Rector,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,,,,,,﻿pet_schreiber_901,﻿Rev.,﻿Peter Schreiber,,﻿Assistant,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,,,,,,﻿c_i_white_901,﻿Rev.,﻿C. I. White,,﻿Assistant,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿sam_eccleston_901,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,,1839,﻿https://en.wikipedia.org/wiki/St._Peter%27s_Pro-Cathedral,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,,,,,,﻿edw_damphoux_901,﻿Rev.,﻿Edward Damphoux,﻿D.D.,﻿Rector,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,,,,,,﻿pet_schreiber_901,﻿Rev.,﻿Peter Schreiber,,﻿Assistant,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,,,,,,﻿c_i_white_901,﻿Rev.,﻿C. I. White,,﻿Assistant,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0002,﻿church,﻿St. Patrick's,English,,﻿F. Point,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿nic_kerny_901,﻿Rev.,﻿N. Kerny,,,,,,,,1839,﻿https://en.wikipedia.org/wiki/St._Michael%27s_Church_Complex ; https://ministryofbrewing.com/ ; https://www.mdhistory.org/resources/saint-patricks-church/#gallery,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0005,﻿church,﻿St. John's,﻿German,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿ben_bayer_902,﻿Rev.,﻿Benedict Bayer,,,,,,,,1839,﻿https://stmarys.edu/wp-content/uploads/2014/04/closed_cemeteries.pdf,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0012,﻿church,﻿St. James',English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿joh_gildea_901,﻿Rev.,﻿J. Gildea,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0016,﻿chapel,﻿St. Mary's Chapel,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿lew_r_deluol_901,﻿Very Rev.,﻿Lewis Deluol,﻿D. D.,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0017,﻿chapel,﻿Carmelite Chapel,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿joh_gildea_901,﻿Rev.,﻿J. Gildea,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0021,﻿chapel,﻿St. Frances' Chapel,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,,,,,,﻿hec_joubert_901,﻿Rev.,﻿Hector Joubert,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0036,﻿church,not recorded,English,,,,﻿Anne Arundel County,﻿Anne Arundel County,﻿Annapolis,﻿Annapolis,﻿MD,﻿MD,,,,,﻿once a month,﻿rob_d_woodley_901,﻿Rev.,﻿Robert D. Woodley,﻿S. J.,,﻿Dw. at White Marsh,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9010,﻿church,﻿St. Ignatius,English,,,,﻿Alleghany County,﻿Anne Arundel County,﻿Arnold Settlement,﻿Mount Savage,﻿MD,﻿MD,,,,,﻿1st and 2d Sunday,﻿s_piot_901,﻿Rev.,﻿S. Piot,,,﻿Dw. at Cumberland,,,,,1839,"﻿Fairly certain, since MSM was founded in 1808, that this entry refers to the chapel that was set up at the same time as the seminary: https://seminary.msmary.edu/about/history.html",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0028,﻿church,not recorded,English,,,,﻿Alleghany County,﻿Garrett County,﻿Blooming Rose Settlement,﻿Friendsville,﻿MD,﻿MD,,,,,﻿4th Sun.,﻿s_piot_901,﻿Rev.,﻿S. Piot,,,﻿Dw. at Cumberland,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0091,﻿church,not recorded,English,,,,﻿Montgomery County,﻿Montgomery County,﻿Barnsville,﻿Barnesville,﻿MD,﻿MD,,,,,,,,,,,﻿Vacant,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0012,﻿church,not recorded,English,,,﻿E. Shore,﻿Cecil County,﻿Cecil County,﻿Bohemia,﻿Warwick,﻿MD,﻿MD,,,,,,﻿geo_king_901,﻿Rev.,﻿George King,﻿S. J.,,,,,,,1839,﻿https://www.stfrancisxaviershrine.com/history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0104,﻿chapel,﻿Boone's Chapel,English,,,,﻿Prince George County,﻿Prince George County,,﻿Upper Marlboro,﻿MD,﻿MD,,,,,,﻿ign_coombes_901,﻿Rev.,﻿Ignatius Combs,﻿S. J.,,﻿Dw. at White Marsh,,,,,1839,﻿https://www.mostholyrosarychurch.org/history ; would later go on to be Most Holy Rosary,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9011,﻿church,not recorded,English,,﻿Brien's Furnace,,﻿Frederick County,﻿Washington County,,﻿Antietam,﻿MD,﻿MD,,,,﻿attended from Mt. St. Mary's College,,,,,,,,,,,,1839,"﻿https://www.wikitree.com/wiki/Brien-74, https://www.canaltrust.org/pyv/antietam-ironworks/",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0063,﻿church,﻿St. Mary's,English,,,,﻿Charles County,﻿Charles County,﻿Bryantown,﻿Bryantown,﻿MD,﻿MD,,,,,﻿1st and 3d Sunday,﻿fra_roloff_901,﻿Rev.,﻿Francis Roloff,,,,,,,,1839,﻿https://stmarysbryantown.com/parish-history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0064,﻿church,not recorded,English,,,,﻿Charles County,﻿Charles County,﻿Cob Neck,﻿Cobb Neck,﻿MD,﻿MD,,,,,﻿1st and 3d Sunday,﻿tho_lilly_901,﻿Rev.,﻿Thomas Lilly,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0065,﻿church,not recorded,English,,,,﻿Charles County,﻿Charles County,﻿Cornwallis Neck,﻿Indian Head,﻿MD,﻿MD,,,,,,﻿alo_mudd_901,﻿Rev.,﻿Aloysius Mudd,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0013,﻿church,not recorded,English,,﻿Susquehanna Bridge,,,﻿Cecil County,﻿Conowingo,﻿Conowingo,﻿MD,﻿MD,,,,,﻿5th Sunday,﻿hen_coskerey_901,﻿Rev.,﻿H. Coskerey,,,"﻿dwelling at Deer Creek, Harford Co.",,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0026,﻿church,﻿St. Mary's,English,﻿not ded.,,,﻿Alleghany County,﻿Allegany County,﻿Cumberland,﻿Cumberland,﻿MD,﻿MD,,,,,"﻿1st, 2d, and 3d Sundays",﻿hen_myers_901,﻿Rev.,﻿Henry Myers,,,,,,,,1839,﻿likely predecessor for this church: https://www.olmcumberland.org/the-shrine-of-ss-peter-and-paul/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0026,﻿church,﻿St. Mary's,English,﻿not ded.,,,﻿Alleghany County,﻿Allegany County,﻿Cumberland,﻿Cumberland,﻿MD,,,,,,,﻿sil_piot_901,﻿Rev.,﻿S. Piot,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9024,﻿station,not recorded,English,,﻿Polecat Valley,,,,,,﻿MD,,,,,,﻿occasionally,﻿hen_myers_901,﻿Rev.,﻿Henry Myers,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9024,﻿station,not recorded,English,,﻿Polecat Valley,,,,,,﻿MD,,,,,,,﻿sil_piot_901,﻿Rev.,﻿S. Piot,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9025,﻿station,not recorded,English,,﻿Sandground,,,,,,﻿MD,,,,,,﻿occasionally,﻿hen_myers_901,﻿Rev.,﻿Henry Myers,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9025,﻿station,not recorded,English,,﻿Sandground,,,,,,﻿MD,,,,,,,﻿sil_piot_901,﻿Rev.,﻿S. Piot,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9026,﻿station,not recorded,English,,﻿Flintstone,,,,,,﻿MD,,,,,,﻿occasionally,﻿hen_myers_901,﻿Rev.,﻿Henry Myers,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9026,﻿station,not recorded,English,,﻿Flintstone,,,,,,﻿MD,,,,,,,﻿sil_piot_901,﻿Rev.,﻿S. Piot,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9027,﻿station,not recorded,English,,﻿Will's Creek Valley,,,,,,﻿MD,,,,,,﻿occasionally,﻿hen_myers_901,﻿Rev.,﻿Henry Myers,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9027,﻿station,not recorded,English,,﻿Will's Creek Valley,,,,,,﻿MD,,,,,,,﻿sil_piot_901,﻿Rev.,﻿S. Piot,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0081,﻿church,not recorded,English,,﻿Deer Creek,,﻿Harford County,,﻿Bel-Air,,﻿MD,,,,,,﻿1st and 3d Sundays,﻿hen_coskerey_901,﻿Rev.,﻿Henry Coskery,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0022,﻿church,not recorded,English,,,﻿Eastern Shore of Maryland,﻿Caroline County,﻿Caroline County,﻿Denton,﻿Denton,﻿MD,﻿MD,,,,﻿from St. Joseph's,﻿3d Sunday,,,,,,"﻿Dwelling at St. Joseph's, Talbot Co.",,,,,1839,﻿https://www.beparish.com/history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9000,﻿church,not recorded,English,,,﻿Eastern Shore of Maryland,﻿Dorset County,﻿Dorchester County,,,﻿MD,,,,,,,﻿tho_d_monelly_901,﻿Rev.,﻿Thomas D. Monelly,,,﻿dw. at Queenstown,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0085,﻿church,not recorded,English,,﻿Dougharagen Manor,,﻿Balt. County,﻿Howard County,,﻿Ellicott City,﻿MD,﻿MD,,,,,﻿2d Sunday,﻿hen_coskerey_901,﻿Rev.,﻿H. Coskery,,,,,,,,1839,"﻿https://en.wikipedia.org/wiki/Doughoregan_Manor, https://americanaristocracy.com/houses/doughoregan-manor",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0083,﻿church,not recorded,English,,﻿Ellicott's Mills,,﻿Ann Arundel County,,,,﻿MD,,,,,,,﻿hen_coskerey_901,﻿Rev.,﻿H. Coskery,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0073,﻿church,not recorded,English,,,,﻿Frederick County,﻿Frederick County,﻿Emmittsburg,﻿Emmitsburg,﻿MD,﻿MD,,,,,,﻿joh_f_hickey_901,﻿Rev.,﻿John Hickey,,,,,,,,1839,﻿https://www.stjosephcatholicchurchemmitsburg.com/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,﻿MD,,,,,,﻿joh_mcelroy_901,﻿Rev.,﻿John McElroy,﻿S. J.,﻿Super.,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,,,,,,,﻿ben_a_young_901,﻿Rev.,﻿B. A. Young,﻿S. J.,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,,,,,,,﻿edw_mccarthy_901,﻿Rev.,﻿Edward McCarthy,﻿S. J.,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,,,,,,,﻿pet_p_kroes_901,﻿Rev.,﻿Peter P. Kroes,﻿S. J.,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,,,,,,,﻿joh_t_mcgerry_901,﻿Rev.,﻿John T. McGerry,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0034,﻿church,not recorded,English,,﻿Fifteen Mile Creek,,﻿Alleghany County,﻿Allegany County,,﻿Little Orleans,﻿MD,﻿MD,,,,,,﻿mic_guth_901,﻿Rev.,﻿Michael Guth,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0108,﻿church,not recorded,English,,,,﻿Washington County,﻿Washington County,﻿Hagerstown,﻿Hagerstown,﻿MD,﻿MD,,,,,,﻿mic_guth_901,﻿Rev.,﻿Michael Guth,,,,,,,,1839,﻿https://saintmarysonline.org/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0109,﻿church,not recorded,English,﻿Church not ded.,,,﻿Washington County,,﻿Hancock,,﻿MD,,,,,,,﻿mic_guth_901,﻿Rev.,﻿Michael Guth,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9012,﻿church,not recorded,English,,﻿Harbaugh's Valley,,,﻿Frederick County,,,﻿MD,﻿MD,,,,﻿from Mt. St. Mary's,﻿once a month,,,,,,,,,,,1839,"﻿https://www.google.com/url?q=https://harbaugh.uoregon.edu/History/WKH%2520memoir,%25201%2520of%25204.pdf&sa=D&source=editors&ust=1748979744807151&usg=AOvVaw2m5s9uEiZKVE21steDGDLt",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0099,﻿chapel,﻿Lady's Chapel,English,,,,﻿St. Mary's County,﻿St. Mary's County,,﻿Leonardtown,﻿MD,﻿MD,,,,,,﻿p_havremans_901,﻿Rev.,﻿P. Havremans,﻿S. J.,,,,,,,1839,﻿https://ourladyschurch.org/history ; https://adw.org/parishes/our-ladys-church/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0048,﻿church,not recorded,English,,,,﻿Balt. County,,﻿Longreen,,﻿MD,,,,,,﻿4th Sunday,﻿hen_coskerey_901,﻿Rev.,﻿H. Coskery,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0075,﻿church,﻿St. Peter's,English,,,,﻿Frederick County,﻿Frederick County,﻿Liberty,﻿Libertytown,﻿MD,﻿MD,,,,﻿attended from Fred'k,,,,,,,,,,,,1839,﻿https://www.stpeter-libertytown.org/about,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0072,﻿church,﻿St. Joseph's,English,,﻿Carrollton Manor,,﻿Frederick County,﻿Frederick County,,﻿Frederick,﻿MD,﻿MD,,,,﻿attended from Fred'k,,,,,,,,,,,,1839,﻿https://stjoesbuckeystown.org/history-of-st-joseph-on-carrollton-manor/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0076,﻿church,﻿St. Mary's,English,,﻿Merryland Tract,,,﻿Frederick County,,﻿Petersville,﻿MD,﻿MD,,,,﻿attended from Fred'k,,,,,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9028,﻿church,not recorded,English,,﻿Middletown Valley,,,﻿Frederick County,,,﻿MD,﻿MD,,,,﻿attended from Fred'k,,,,,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9029,﻿church,not recorded,English,,﻿Jamison's,,,,,,﻿MD,﻿MD,,,,﻿attended from Fred'k,,,,,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9001,﻿church,not recorded,English,,,,﻿Prince George County,,﻿Mattawoman,,﻿MD,﻿MD,,,,,﻿5th Sunday and Holy days,﻿fra_roloff_901,﻿Rev.,﻿F. Roloff,,,﻿Dw. at Bryantown,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0104,﻿church,not recorded,English,,,,﻿Prince George County,﻿Prince George County,﻿Marlborough,﻿Upper Marlboro,﻿MD,﻿MD,,,,﻿attended from White Marsh,,,,,,,,,,,,1839,﻿https://stmaryumchurch.org/about-us/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0074,﻿church,﻿Mountain Church,English,,﻿near Emmitsburg,,,﻿Frederick County,,﻿Emmitsburg,﻿MD,﻿MD,,,,,,﻿geo_flaut_901,﻿Rev.,﻿George Flaut,,,﻿Dw. at the College,,,,,1839,"﻿Fairly certain, since MSM was founded in 1808, that this entry refers to the chapel that was set up at the same time as the seminary: https://seminary.msmary.edu/about/history.html",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0098,﻿church,not recorded,English,,,,﻿St Mary's County,﻿St Mary's County,﻿Newtown,﻿Leonardtown,﻿MD,﻿MD,,,,,,﻿p_havremans_901,﻿Rev.,﻿P. Havremans,﻿S. J.,,,,,,,1839,﻿https://www.stfrancisxavierchurch.org/history ; https://stillwespeak.org/places/newtown-md/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0098,﻿church,not recorded,English,,,,﻿St Mary's County,﻿St Mary's County,﻿Newtown,﻿Leonardtown,﻿MD,,,,,,,﻿wil_grace_901,﻿Rev.,﻿William Grace,﻿S. J.,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0098,﻿church,not recorded,English,,,,﻿St Mary's County,﻿St Mary's County,﻿Newtown,﻿Leonardtown,﻿MD,,,,,,,﻿mat_sanders_901,﻿Rev.,﻿M. Sanders,﻿S. J.,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0098,﻿church,not recorded,English,,,,﻿Alleghany County,﻿St Mary's County,﻿Oldtown,﻿Leonardtown,﻿MD,,,,,,﻿3d and 4th Sundays,﻿hen_myers_901,﻿Rev.,﻿H. Myers,,,,,,,,1839,,,,,﻿,﻿,﻿Baltimore,Baltimore
