instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095,-85.47136896,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Ben J. Flaget,﻿D.D,,,,,,,1834,﻿https://stjosephbasilica.org/history,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_b_david_901,﻿Right Rev.,﻿John B. David,﻿D.D.,﻿Codaj.,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿ign_a_reynolds_901,﻿Rev.,﻿Ignatius A. Reynolds,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿petit_901,﻿Rev.,﻿-- Petit,,,﻿and other gentlemen from the seminary,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,37.8107095,-85.47136896,,,,﻿rogers_902,﻿Rev.,﻿-- Rogers,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9001,﻿cathedral,not recorded,English,,,,﻿Bullet County,﻿Bullitt County,,,﻿KY,,37.8107095,-85.47136896,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0074,﻿cathedral,not recorded,English,,,,﻿Casey County,﻿Casey County,,﻿Liberty,﻿KY,﻿KY,37.2885901,-85.0960577,,,,﻿dav_deparq_901,﻿Rev.,﻿David Deparq,,,,,,,,1834,﻿https://stbernardchurch.weebly.com/history.html,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9002,﻿cathedral,not recorded,English,,,,,,﻿Clare Creek,,﻿KY,,37.2885901,-85.0960577,,,,﻿wal_coomes_901,﻿Rev.,﻿Walter Coomes,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0034,﻿church,﻿St. Patrick's,English,,,,﻿Mercer County,﻿Boyle County,﻿Danville,﻿Danville,﻿KY,﻿KY,37.64607733,-84.77069785,,,,﻿dav_deparq_901,﻿Rev.,﻿D. Debarq,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9003,﻿church,not recorded,English,,,,﻿Davies County,,,,﻿KY,,37.64607733,-84.77069785,,,,﻿cha_coomes_901,﻿Rev.,﻿Charles Coomes,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9004,﻿church,not recorded,English,,,,﻿Hardin County,﻿Hardin County,﻿Elizabethtown,﻿Elizabethtown,﻿KY,﻿KY,37.69995457,-85.87335513,,,,﻿cha_cecil_901,﻿Rev.,﻿Chas. Cecil,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,﻿Mass at 11,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.93178213,-85.38291799,,,,﻿jam_elliott_001,﻿Rev.,﻿J. Elliott,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0045,﻿church,not recorded,English,,,,,,﻿Hendersonville,﻿Henderson,﻿KY,﻿KY,37.83895375,-87.58671155,,,,,﻿-,﻿-,,,,,,,,1834,"﻿Church site says that there was not a formal building until later; however it implies that these was still a catholic community in Hendersonv. Also, it seems that Hendersonville was the early version of Henderson, which started as a settlement but grew as tobacco production in the county grew: https://holynameparish.net/parish-history ; https://en.wikipedia.org/wiki/Henderson,_Kentucky",,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9005,﻿church,﻿Holy Cross,English,,,,﻿Washington County,,,,﻿KY,,37.83895375,-87.58671155,,,,﻿r_byrne_901,﻿Rev.,﻿R. Byrne,,,,,,,,1834,﻿https://www.archlou.org/parishes/holy-cross-marion-county/,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9006,﻿church,﻿Holy Mary's,English,,,,﻿Washington County,,,,﻿KY,,37.83895375,-87.58671155,,,,﻿dav_deparq_901,﻿Rev.,﻿D. Deparq,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9007,﻿church,not recorded,English,﻿Mass at 11,,,﻿Washington County,,﻿Lebanon,,﻿KY,,37.83895375,-87.58671155,,,,,,,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,﻿Mass at 11,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,﻿e_mcmahon_901,﻿Rev.,﻿E. McMahon,,,﻿dw. at St. Pius,,,,,1834,﻿https://www.stpeterlex.org/about-us/our-history,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0048,﻿church,not recorded,English,,,,,﻿Marion County,﻿Loretto,﻿Loretto,﻿KY,﻿KY,37.6728593,-85.44784585,,,,﻿guy_i_chabrat_901,﻿Rev. Mr.,﻿Chabrat,,,,,,,,1834,﻿http://sfahc.com/holy-cross,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis's,English,﻿Mass at 11,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.23690764,-85.76363854,,,,﻿rob_a_abell_001,﻿Rev.,﻿Robert A. Abell,,,,,,,,1834,﻿https://www.stlb.org/,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis's,English,﻿Mass at 11,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,﻿g_w_hayden_901,﻿Rev.,﻿-- Hayden,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,﻿KY,37.68256297,-87.9215952,,,,﻿eli_durbin_901,﻿Rev.,﻿Elisha Durbin,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,,37.68256297,-87.9215952,,,,﻿edw_clark_901,﻿Rev.,﻿Edward Clark,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9008,﻿church,﻿St. Benedict,English,,,,﻿Nelson County,,,,﻿KY,,37.68256297,-87.9215952,,,,﻿wal_coomes_901,﻿Rev.,﻿Walter Coomes,,,,,,,,1834,,,,﻿,﻿,﻿Bardstown,Bardstown
