instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095,-85.47136896,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Benedict J. Flaget,﻿D.D.,,,,,,,1836,﻿https://stjosephbasilica.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿chabrat_901,﻿Right Rev.,﻿Guy Ignatius Chabrat,﻿D.D.,﻿Codajutor,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_b_david_901,﻿Right Rev.,﻿John B. M. David,﻿D.D.,,﻿who has resigned the Coadjutorship,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿mar_i_spalding_901,﻿Rev.,﻿Martin I. Spalding,,﻿Pastor,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿jos_haseltine_901,﻿Rev.,﻿Joseph Haseltine,,﻿Assistant,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,37.8107095,-85.47136896,,,,﻿rogers_902,﻿Rev.,﻿Joseph Rogers,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_wathen_901,﻿Rev.,﻿Jno. Wathan,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9001,﻿cathedral,not recorded,English,,,,﻿Bullet County,﻿Bullitt County,,,﻿KY,,37.8107095,-85.47136896,,,,﻿j_elliott_901,﻿Rev.,﻿James Elliot,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0031,﻿cathedral,not recorded,English,,﻿Clear Creek,,,,,,﻿KY,,37.8107095,-85.47136896,,,,﻿f_chambige_901,﻿Rev.,﻿F. Chambige,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0001,﻿cathedral,not recorded,English,﻿3d and 4th Sundays,,,,,﻿Covington,,﻿KY,,38.5731349,-82.8301677,,,﻿attended from the Cathedral of Cincinnati,﻿#REF!,,,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0034,﻿church,﻿St. Patrick's,English,,,,﻿Mercer County,﻿Boyle County,﻿Danville,﻿Danville,﻿KY,﻿KY,37.64607733,-84.77069785,,,,﻿dav_deparq_901,﻿Rev.,﻿David A. Debarq,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9003,﻿church,not recorded,English,,,,﻿Davies County,,,,﻿KY,,37.64607733,-84.77069785,,,,﻿joh_wathen_901,﻿Rev.,﻿Jno. Wathan,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9004,﻿church,not recorded,English,,,,﻿Hardin County,﻿Hardin County,﻿Elizabethtown,﻿Elizabethtown,﻿KY,﻿KY,37.69995457,-85.87335513,,,,﻿edw_clark_901,﻿Rev.,﻿Ed. A. Clark,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,﻿Mass at 11,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.93178213,-85.38291799,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9005,﻿church,﻿Holy Cross,English,,,,﻿Washington County,,,,﻿KY,,37.93178213,-85.38291799,,,,﻿r_byrne_901,﻿Rev.,﻿Robert Byrne,,,,,,,,1836,﻿https://www.archlou.org/parishes/holy-cross-marion-county/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,,,﻿Lebanon,,﻿KY,,37.93178213,-85.38291799,,,,﻿chazelle_901,﻿Rev.,﻿Chazelle,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,,,﻿Lebanon,,﻿KY,,37.93178213,-85.38291799,,,,﻿petit_901,﻿Rev.,﻿Petit,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,,,﻿Lebanon,,﻿KY,,37.93178213,-85.38291799,,,,﻿gouet_901,﻿Rev.,﻿Gouet,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,,,﻿Lebanon,,﻿KY,,37.93178213,-85.38291799,,,,﻿gilles_901,﻿Rev.,﻿Gilles,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,,,﻿Lebanon,,﻿KY,,37.93178213,-85.38291799,,,,﻿fouché_901,﻿Rev.,﻿Fouche,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9014,﻿convent,not recorded,English,﻿Jesuits,,,,,﻿Lebanon,,﻿KY,,37.93178213,-85.38291799,,,,﻿evremont_901,﻿Rev.,﻿Evremond,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,﻿joh_mcgill_901,﻿Rev.,﻿John McGill,,,,,,,,1836,﻿https://www.stpeterlex.org/about-us/our-history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,﻿e_mcmahon_901,﻿Rev.,﻿B. McMahon,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis's,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.23690764,-85.76363854,,,,﻿ign_a_reynolds_901,﻿Rev.,﻿Ign. A. Reynolds,,,,,,,,1836,﻿https://www.stlb.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis's,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,﻿hayden_901,﻿Rev.,﻿George W. Hayden,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,﻿KY,37.68256297,-87.9215952,,,,﻿eli_durbin_901,﻿Rev.,﻿Elisha Durbin,,,"﻿visits Tennessee, twice during the year",,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿church,﻿St. Benedict,English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,﻿KY,38.03301885,-85.34467741,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1836,﻿https://www.allsaintstville.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0048,﻿church,not recorded,English,,,,,﻿Marion County,﻿Loretto,﻿Loretto,﻿KY,﻿KY,37.6728593,-85.44784585,,,,﻿evremont_901,﻿Rev.,﻿F. X. Evremond,,,,,,,,1836,﻿http://sfahc.com/holy-cross,,,,﻿,﻿,﻿Bardstown,Bardstown
