instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095,-85.47136896,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Benedict J. Flaget,﻿D.D.,,,,,,,1838,,﻿https://stjosephbasilica.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,,﻿Right Rev.,﻿Guy. J. Chabrat,﻿D.D.,﻿coadj.,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,,﻿Right Rev.,﻿John B. David,﻿D.D.,﻿Bishop of Mauricastro,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,"﻿The Rev. gentlemen of St. Jospeh's College, assist at the Cathedral",,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,,﻿Rev.,﻿Martin J. Spalding,,﻿Pastor,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9001,﻿cathedral,not recorded,English,,,,﻿Bullet County,﻿Bullitt County,,,﻿KY,,37.8107095,-85.47136896,,﻿[visited once a month by] Rev. J. Haseltine,,﻿j_haseltine_901,﻿Rev.,﻿J. Haseltine,,,﻿of Nazareth,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0031,﻿cathedral,not recorded,English,,﻿Clear Creek,,,,,,﻿KY,,37.8107095,-85.47136896,,﻿[visited once a month by] Rev. Mr. Ward,,,﻿Rev. Mr.,﻿Ward,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0001,﻿cathedral,﻿St. Mary's,English,,,,,,﻿Covington,,﻿KY,,38.5731349,-82.8301677,,,,,﻿Rev.,﻿S. H. Montgomery,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9025,﻿convent,not recorded,English,,﻿Nazareth,,﻿Nelson County,,,,﻿KY,,38.5731349,-82.8301677,,,,﻿j_haseltine_901,﻿Rev.,﻿J. Haseltine,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9026,﻿convent,not recorded,English,,﻿Loretto,,,,,,﻿KY,,38.5731349,-82.8301677,,,,﻿d_a_deparcq_901,﻿Rev.,﻿D. A. Deparcq,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0034,﻿church,﻿St. Patrick's,English,,,,﻿Mercer County,﻿Boyle County,﻿Danville,﻿Danville,﻿KY,﻿KY,37.64607733,-84.77069785,,﻿[visited] once a month [by] Rev. E. McMahon,,﻿e_mcmahon_901,﻿Rev.,﻿E. McMahon,,,﻿dwelling at Lexington,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0034,﻿church,﻿St. Patrick's,English,,,,﻿Hardin County,﻿Boyle County,﻿Elizabethtown,﻿Danville,﻿KY,,37.64607733,-84.77069785,,,,,﻿Rev.,﻿F. Chambige,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0034,﻿church,﻿St. Patrick's,English,,,,﻿Hardin County,﻿Boyle County,﻿Frankfort,﻿Danville,﻿KY,,37.64607733,-84.77069785,,,,,﻿Rev.,﻿J. A. Drew,,,,,,,,1838,,﻿https://www.frankfortgoodshepherd.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,,,,﻿Nelson County,﻿Nelson County,﻿Fairfield,﻿Fairfield,﻿KY,﻿KY,37.93178213,-85.38291799,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9017,﻿church,not recorded,English,,,,﻿Grayson County,,,,﻿KY,,37.93178213,-85.38291799,,﻿[visited] once a month [by] Rev. A. Degauquier,,,﻿Rev.,﻿A. Degauquier,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9005,﻿church,﻿Holy Cross Church,English,,,,﻿Washington County,,,,﻿KY,,37.93178213,-85.38291799,,,,,﻿Rev.,﻿Robert Byrn,,,,,,,,1838,,﻿https://www.archlou.org/parishes/holy-cross-marion-county/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9027,﻿church,﻿Holy Mary's Church,English,,,,﻿Marion County,,,,﻿KY,,37.93178213,-85.38291799,,﻿visited by Rev. R. A. Abell,,﻿r_a_abell_901,﻿Rev.,﻿R. A. Abell,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
