instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.ct.0132,﻿church,﻿Holy Trinity,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,﻿CT,41.7691004,-72.67843613,,,,﻿jam_fitton_001,﻿Rev.,﻿James Fitton,,,﻿Attends Worcester and sundry other places,,,,,1834,﻿https://connecticuthistory.org/connecticuts-first-roman-catholic-church/ ;  https://spsact.org/our-parish/our-history/,,﻿,﻿,﻿Boston,Boston
﻿har.ct.0097,﻿church,not recorded,English,,,,,﻿New Haven County,﻿New Haven,﻿New Haven,﻿CT,﻿CT,,,,,,﻿jam_mcdermott_001,﻿Rev. Mr.,﻿M'Dermott,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿har.ct.0001,﻿church,not recorded,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,﻿RI,41.81925635,-71.41655559,,,,﻿p_conolly_901,﻿Rev.,﻿P. Conolly,,,,,,,,1834,"﻿After looking at the history, I am thinking it is in fact the church that would go on to be the cathedral in later years: https://www.providencecathedral.org/cathedral-history",,﻿,﻿,﻿Boston,Boston
﻿har.ct.0026,﻿church,not recorded,English,,,,,﻿Providence County,﻿Pawtucket,﻿Pawtucket,﻿RI,﻿RI,41.878711,-71.382556,,,,﻿p_conolly_901,﻿Rev.,﻿P. Conolly,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0054,﻿church,not recorded,English,,,,,﻿Norfolk,﻿Canton Congregation,﻿Canton,﻿RI,﻿MA,42.1584324,-71.1447732,,,,﻿p_conolly_901,﻿Rev.,﻿P. Conolly,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿har.ct.0025,﻿church,not recorded,English,,,,,﻿Newport County,﻿Newport,﻿Newport,﻿RI,﻿RI,41.48393261,-71.31239369,,,,﻿joh_corry_901,﻿Rev.,﻿John Corry,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0074,﻿church,not recorded,English,,,,,﻿Bristol County,﻿Fall River,﻿Fall River,﻿RI,﻿MA,41.6989912,-71.1575452,,,,﻿joh_corry_901,﻿Rev.,﻿John Corry,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.34077868,-71.06950954,,,,﻿ben_j_fenwick_901,﻿Right Rev.,﻿B. Fenwick,﻿D.D.,,,,,,,1834,﻿https://bostoncathedral.com/history,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.34077868,-71.06950954,,,,﻿wil_tyler_901,﻿Rev.,﻿Win. Tyler,﻿D.D.,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.34077868,-71.06950954,,,,﻿mic_healy_901,﻿Rev.,﻿M. Healey,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.34077868,-71.06950954,,,,﻿edw_walsh_901,﻿Rev.,﻿Edward Walsh,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.9001,﻿chapel,﻿St. Aloysius' Chapel,English,,,,,﻿Suffolk County,﻿Boston,,﻿MA,﻿MA,,,﻿bos.ma.0001,﻿Attended by reverends from the cathedral,,,,,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0012,﻿church,﻿St. Augustine's Church,English,,﻿South Boston,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.334167,-71.049444,,,,﻿tho_lynch_001,﻿Rev.,﻿Thomas Lynch,,,,,,,,1834,﻿https://en.wikipedia.org/wiki/Saint_Augustine_Chapel_and_Cemetery ; https://www.gateofheavenstbrigid.org/st-augustine-cemetery-chapel,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0012,﻿church,﻿St. Augustine's Church,English,,﻿South Boston,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.334167,-71.049444,,,,﻿drummond_901,﻿Rev. Mr.,﻿Drummond,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0179,﻿church,not recorded,English,,,,,﻿Middlesex County,﻿Waltham,﻿Waltham,﻿MA,﻿MA,42.37844568,-71.23706222,﻿bos.ma.0012,﻿Attended alternately by Rev. Thomas Lynch and Rev. Mr. Drummond of St. Augustine's Church,,﻿tho_lynch_001,﻿Rev.,﻿Thomas Lynch,,,,,,,,1834,﻿https://www.stmarywaltham.org/parish-history,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0179,﻿church,not recorded,English,,,,,﻿Middlesex County,﻿Waltham,﻿Waltham,﻿MA,,42.37844568,-71.23706222,,,,﻿drummond_901,﻿Rev. Mr.,﻿Drummond,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0055,﻿church,﻿St. Mary's Church,English,,,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,﻿MA,,,,,,﻿pat_byrne_901,﻿Rev.,﻿P. Byrne,,,,,,,,1834,﻿https://en.wikipedia.org/wiki/St._Mary_%E2%80%93_St._Catherine_of_Siena_Parish,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0055,﻿church,﻿St. Mary's Church,English,,,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,,42.38777424,-71.08335499,,,,﻿joh_d_brady_901,﻿Rev.,﻿John D. Brady,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.9000,﻿convent,﻿Ursuline Convent,English,,,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,﻿MA,42.52128369,-70.88989474,,,,﻿ben_j_fenwick_901,﻿Right Rev.,﻿B. Fenwick,﻿D.D.,,,,,,,1834,"﻿This place no longer exists because it was burned down by a 1830s attack by Protestants: https://en.wikipedia.org/wiki/Ursuline_Convent_riots , https://historicipswich.net/2025/03/06/boston-irish-long-remembered-the-1834-charlestown-convent-fire/","﻿Reading, Writing, Grammar, Arithmetic, Georgraphy, History (ancient and modern), Orthography, plain and fancy needle-work, ornamental writing, prose and poetry composition, ancient and modern history, chronology, mythology, use of Globes, astronomy, rhetoric, logic, natural and moral philosophy, chemistry, arithmetic, geometry, botany, japanning, drawing, painting in oil colours and on velvet satin and wood mezzotinto and poonah, music",﻿,﻿,﻿Boston,Boston
﻿bos.ma.0152,﻿church,﻿St. Mary's,English,,,,,﻿Essex County,﻿Salem,﻿Salem,﻿MA,﻿MA,42.64523751,-71.31771974,,,,﻿wil_wiley_901,﻿Rev.,﻿William Wiley,,,,,,,,1834,﻿https://salempl.org/wiki/index.php?title=Immaculate_Conception_Church ;  https://www.mqoa.org/,,﻿,﻿,﻿Boston,Boston
