instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿har.ct.0132,﻿church,﻿Holy Trinity,English,,,,,﻿Hartford County,﻿Hartford,﻿Hartford,﻿CT,﻿CT,41.76119788,-72.67692965,,,,﻿jam_fitton_001,﻿Rev.,﻿James Fitton,,,,,,,,1836,﻿https://connecticuthistory.org/connecticuts-first-roman-catholic-church/ ;  https://spsact.org/our-parish/our-history/,﻿,﻿,﻿Boston,Boston
﻿har.ct.0097,﻿church,﻿Christ's Church,English,,,,,﻿New Haven County,﻿New Haven,﻿New Haven,﻿CT,﻿CT,41.31188337,-72.92382644,,,,﻿jam_mcdermott_001,﻿Rev.,﻿James M'Dermott,,,,,,,,1836,﻿https://en.wikipedia.org/wiki/Christ_Church_(New_Haven),﻿,﻿,﻿Boston,Boston
﻿har.ct.0001,﻿church,not recorded,English,,,,,﻿Providence County,﻿Providence,﻿Providence,﻿RI,﻿RI,41.81925647,-71.41659419,,,,﻿con_lee_901,﻿Rev.,﻿Constantine Lee,,,,,,,,1836,"﻿After looking at the history, I am thinking it is in fact the church that would go on to be the cathedral in later years: https://www.providencecathedral.org/cathedral-history",﻿,﻿,﻿Boston,Boston
﻿har.ct.0026,﻿church,not recorded,English,,,,,﻿Providence County,﻿Pawtucket,﻿Pawtucket,﻿RI,﻿RI,41.88325633,-71.38365071,,,﻿[visited] once a month [by] Rev. Constantine Lee,﻿con_lee_901,﻿Rev.,﻿Constantine Lee,,,,,,,,1836,,﻿,﻿,﻿Boston,Boston
﻿har.ct.0025,﻿church,not recorded,English,,,,,﻿Newport County,﻿Newport,﻿Newport,﻿RI,﻿RI,41.483933,-71.312394,,,﻿[visited] once in three weeks [by] Rev. John Corry,﻿joh_corry_901,﻿Rev.,﻿John Corry,,,,,,,,1836,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.35606338,-71.05825821,,,,﻿ben_j_fenwick_901,﻿Right Rev.,﻿Benedict Fenwick,﻿D. D.,,,,,,,1836,﻿https://bostoncathedral.com/history,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35606338,-71.05825821,,,,﻿wil_tyler_901,﻿Very Rev.,﻿Wil. Tyler,,,,,,,,1836,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35606338,-71.05825821,,,,﻿mic_healy_901,﻿Very Rev.,﻿Michael Healy,,,,,,,,1836,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35606338,-71.05825821,,,,﻿curtin_901,﻿Rev. Mr.,﻿Curtin,,,,,,,,1836,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35606338,-71.05825821,,,,﻿wil_wiley_901,﻿Rev.,﻿Wil. Wiley,,,,,,,,1836,,﻿,﻿,﻿Boston,Boston
