instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bro.ny.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, 188 Jay street",﻿Jay street,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿joh_loughlin_001,﻿Rt. Rev.,﻿John Loughlin,﻿D.D.,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, 188 Jay street",﻿Jay street,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿joh_f_turner_001,﻿Very Rev.,﻿John F. Turner,,﻿Vicar-General,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, 188 Jay street",﻿Jay street,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿tho_gardner_001,﻿Rev.,﻿Thomas J. Gardner,﻿D.D.,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, 188 Jay street",﻿Jay street,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿eug_mcsherry_001,﻿Rev.,﻿Eugene McSherry,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0002,﻿church,﻿St. Paul's,English,,﻿Corner of Court and Congress streets,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿rob_j_mcguire_001,﻿Rev.,﻿Robert J. McGuire,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0003,﻿church,﻿Assumption of the B.V. Mary,English,,﻿Corner of York and Jay streets,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿wil_keegan_001,﻿Rev.,﻿William Keegan,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0003,﻿church,﻿Assumption of the B.V. Mary,English,,﻿Corner of York and Jay streets,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿tho_a_reid_001,﻿Rev.,﻿Thomas A. Reid,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0004,﻿church,﻿St. Patrick's,English,,﻿corner of Kent and Willoughby avenues,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿pet_c_fagan_001,﻿Rev.,﻿Peter C. Fagan,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0004,﻿church,﻿St. Patrick's,English,,﻿corner of Kent and Willoughby avenues,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿edw_c_fitzpatrick_001,﻿Rev.,﻿Edward C. Fitzpatrick,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0004,﻿church,﻿St. Patrick's,English,,﻿corner of Kent and Willoughby avenues,,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿mic_moran_002,﻿Rev.,﻿Michael Moran,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
﻿bro.ny.0005,﻿church,﻿SS. Peter's and Paul's,English,,"﻿Second street, between South-Second and South-Third streets",,﻿Brooklyn County,,﻿New York City,﻿New York City,﻿NY,,,,,,,﻿syl_malone_001,﻿Rev.,﻿Sylvester Malone,,,,,,,,1867,﻿,﻿,﻿Brooklyn,Brooklyn
