instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.882803,﻿-78.878283,,,,,﻿Very Rev.,﻿Wm. Gleeson,,"﻿V.G., Rector",,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.882803,﻿-78.878283,,,,,﻿Rev.,﻿D. Moore,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0001,﻿cathedral,﻿St. Joseph's Cathedral,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.882803,﻿-78.878283,,,,,﻿Rev.,﻿J. McEvoy,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0006,﻿church,﻿St. Louis',﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.905645,﻿-78.825265,,,,,﻿Rev.,﻿Jos. M. Sorg,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0008,﻿church,﻿St. Mary's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.90755,﻿-78.807011,,,,,﻿Rev.,﻿J.B. Hespelein,﻿C.SS.R.,﻿Rector,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0007,﻿church,﻿St. Boniface,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.915436,﻿-78.769903,,,,,﻿Rev.,﻿Nicholas Sorg,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0011,﻿church,﻿St. Peter's,﻿French,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.972121,﻿-78.815475,,,,,﻿Rev.,﻿Le Burton,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,﻿jos_m_durthaller_001,﻿Rev.,﻿J. Durthaller,﻿S.J.,﻿Superior,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,,﻿Rev.,﻿M. Hoering,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,,﻿Rev.,﻿Charles Jansen,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0009,﻿church,﻿St. Michael's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,,﻿Rev.,﻿C. Kottman,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0002,﻿church,﻿St. Bridget's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.864786,﻿-78.86443,,,,,﻿Rev.,﻿Martin O'Connor,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0002,﻿church,﻿St. Bridget's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.864786,﻿-78.86443,,,,,﻿Rev.,﻿Joseph Donoghue,,﻿Assistant,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0005,﻿church,﻿Holy Angels,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.903442,﻿-78.889303,,,,,﻿Rev.,﻿A. Tortel,﻿O.M.I.,﻿Superior,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0003,﻿church,﻿St. Patrick's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,﻿jam_titta_001,﻿Rev.,﻿James Tirta,﻿O.S.F.,﻿Superior,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0003,﻿church,﻿St. Patrick's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,,﻿Rev.,﻿F. Constantine,﻿O.S.F.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0003,﻿church,﻿St. Patrick's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,,﻿Rev. Father,﻿Jerome Collins,﻿O.S.F.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0003,﻿church,﻿St. Patrick's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.886447,﻿-78.878369,,,,,﻿Brother,﻿Didacus,﻿O.S.F.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0010,﻿church,﻿St. Ann's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.882213,﻿-78.849333,,,,,﻿Rev.,﻿J. Blettner,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0010,﻿church,﻿St. Ann's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.882213,﻿-78.849333,,,,,﻿Rev.,﻿G. Foertsch,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0010,﻿church,﻿St. Ann's,﻿German,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.882213,﻿-78.849333,,,,,﻿Rev.,﻿T. Hackspiel,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0012,﻿church,﻿St. Vincent de Paul's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.909104,﻿-78.866851,,,,,﻿Rev.,﻿A. Keck,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0014,﻿church,﻿St. Francis Xavier's,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.950911,﻿-78.848858,,,,,﻿Rev.,﻿Henry Feldmann,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
﻿buf.ny.0013,﻿church,﻿St. John the Baptist,English,,,,﻿Erie County,,﻿Buffalo,﻿Buffalo,﻿NY,,﻿42.950911,﻿-78.848858,,,,,﻿Rev.,﻿P. Mazuret,,,,,,,,1869,﻿,﻿,﻿Buffalo,Buffalo
