instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bur.vt.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Burlington,,﻿VT,,,,,,,﻿jer_m_cloarec_001,﻿Rev.,﻿Jerome M. Cloarec,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Burlington,,﻿VT,,,,,,,﻿j_galligan_001,﻿Rev.,﻿J. Galligan,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Burlington,,﻿VT,,,,,,,﻿tho_halpin_001,﻿Rev.,﻿Thomas Halpin,,,﻿absent on account of ill-health,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0002,﻿church,﻿St. Joseph's,English,,,,,,﻿Burlington,,﻿VT,,,,,,,﻿her_cardinal_001,﻿Rev.,﻿Hervé Cardinal,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0003,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Alburgh,,﻿VT,,,,,"﻿Attended from St. Sebastien, C.E.",,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0004,﻿church,not recorded,English,,,,,,﻿Albany,,﻿VT,,,,﻿bur.vt.0050,﻿Attended from St. Johnsbury,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0006,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Bakersfield,,﻿VT,,,,,,,﻿pet_savoie_001,﻿Rev.,﻿Peter Savoie,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0007,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Berkshire (West),,﻿VT,,,,,,,﻿p_savoie_001,﻿Rev.,﻿P. Savoie,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0008,﻿church,﻿St. Charles,English,,,,﻿Windham County,,﻿Bellows Falls,,﻿VT,,,,﻿bur.vt.0012,﻿Attended from Brattleboro,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0009,﻿church,not recorded,English,,,,﻿Lamoille County,,﻿Belvidere,,﻿VT,,,,﻿bur.vt.0021,﻿Attended from Fairfield,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0010,﻿church,﻿St. Francis of Sales,English,,,,﻿Bennington County,,﻿Bennington (East),,﻿VT,,,,,,,﻿den_a_ryan_001,﻿Rev.,﻿Denis A. Ryan,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0011,﻿church,﻿Our Lady of Good Help,English,,,,﻿Addison County,,﻿Brandon,,﻿VT,,,,,,,﻿g_caissy_001,﻿Rev.,﻿G. Caissy,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0012,﻿church,﻿St. Michael's,English,,,,﻿Windham County,,﻿Brattleboro,,﻿VT,,,,,,,﻿cha_oreilly_001,﻿Rev.,﻿Charles O'Reilly,,,﻿who resides in Middlebury,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0013,﻿church,not recorded,English,,,,﻿Lamoille County,,﻿Cambridge,,﻿VT,,,,﻿bur.vt.0006,﻿Attended from Bakersfield,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0014,﻿church,not recorded,English,,,,﻿Rutland County,,﻿Castleton,,﻿VT,,,,﻿bur.vt.0047,﻿Attended from West-Rutland,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0015,﻿church,﻿Our Lady of Mount Carmel,English,,,,﻿Chittenden County,,﻿Charlotte,,﻿VT,,,,﻿bur.vt.0063,﻿Attended from Burlington,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0016,﻿church,not recorded,English,,,,,,﻿Danby,,﻿VT,,,,﻿bur.vt.0045,﻿Attended from East-Rutland,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0070,﻿church,not recorded,English,,,,﻿Bennington County,,﻿Dorset,,﻿VT,,,,,,,﻿tho_gaffney_001,﻿Rev.,﻿Thomas Gaffney,,,﻿who resides at East-Rutland,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0017,﻿church,not recorded,English,,,,,,﻿East Dorset,,﻿VT,,,,﻿bur.vt.0045,﻿Attended from East-Rutland,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0018,﻿church,not recorded,English,,,,﻿Lamoille County,,﻿Eden,,﻿VT,,,,﻿bur.vt.0021,﻿Attended from Fairfield,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0019,﻿church,﻿St. John the Baptist,English,,,,﻿Franklin County,,﻿Enosburg,,﻿VT,,,,﻿bur.vt.0006,﻿Attended from Bakersfield,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0020,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Fairfax,,﻿VT,,,,,﻿Attended from Milton Falls,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0021,﻿church,﻿St. Patrick's,English,,,,﻿Franklin County,,﻿Fairfield,,﻿VT,,,,,,,﻿mic_mccauley_001,﻿Rev.,﻿Michael McCauley,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0022,﻿church,﻿Our Lady of Seven Dolors,English,,,,﻿Rutland County,,﻿Fairhaven,,﻿VT,,,,,,,﻿joh_odwyer_001,﻿Rev.,﻿John O'Dwyer,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0023,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Franklin,,﻿VT,,,,﻿bur.vt.0006,﻿Attended from Bakersfield,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0024,﻿church,﻿St. Rose of Lima,English,,,,﻿Grand Isle County,,﻿Grand Isle,,﻿VT,,,,﻿bur.vt.0033,﻿Attended from Milton,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0025,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Highgate,,﻿VT,,,,﻿bur.vt.0053,﻿Attended from Swanton Falls,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0026,﻿church,﻿St. James the Greater,English,,,,﻿Essex County,,﻿Island Pond,,﻿VT,,,,,"﻿Attended from Compton, C.E.",,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0027,﻿church,not recorded,English,,,,,,﻿Isle La Motte,,﻿VT,,,,﻿bur.vt.0033,﻿Attended from Milton,,,,,,,,,,,,1869,﻿,﻿,﻿Burlington,Burlington
