instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77642653,-79.93453937,,,,﻿joh_england_901,﻿Right Rev.,﻿John England,﻿D. D.,,,,,,,1837,,,﻿https://en.wikipedia.org/wiki/Cathedral_of_Saint_John_and_Saint_Finbar ; https://charlestoncathedral.com/history/,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,,,﻿w_clancey_901,﻿Rt. Rev.,﻿Wm. Clancey,﻿D. D.,﻿Coadj.,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,,,﻿ric_s_baker_001,﻿Rev.,﻿R. S. Baker,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,﻿assisted by Rev. Dominick Burn,﻿occasionally,﻿dom_burn_901,﻿Rev.,﻿Dominick Burn,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,﻿assisted by Rev. Patrick O'Neil,﻿occasionally,﻿pat_oneil_901,﻿Rev.,﻿Patrick O'Neil,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78189079,-79.93286629,,,,﻿joh_fielding_901,﻿Rev.,﻿J. Fielding,,,,,,,,1837,,,﻿https://www.sma.church/our-history.html,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.78189079,-79.93286629,,,,﻿rob_browne_901,﻿Rev.,﻿Robert Browne,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.78189079,-79.93286629,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,﻿District of St. Patrick's,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.7882253,-79.9403921,,,,﻿joh_fielding_901,﻿Rev.,﻿J. Fielding,,,,,,,,1837,,,﻿https://www.stpatrickcharleston.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,﻿District of St. Patrick's,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.7882253,-79.9403921,,,,﻿rob_browne_901,﻿Rev.,﻿Robert Browne,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,﻿District of St. Patrick's,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.7882253,-79.9403921,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,﻿SC,34.00550865,-81.03810855,,﻿[visited by] Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1837,,﻿https://www.visitstpeters.org/our-history,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,,34.00550865,-81.03810855,,﻿[visited by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0051,﻿church,not recorded,English,,,,,,﻿Chester,,﻿SC,,34.00550865,-81.03810855,,﻿[visited by] Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0051,﻿church,not recorded,English,,,,,,﻿Chester,,﻿SC,,34.00550865,-81.03810855,,﻿[visited by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0034,﻿church,not recorded,English,,,,,,﻿Sumpter,,﻿SC,,34.00550865,-81.03810855,,﻿[visited by] Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1837,,"﻿2 churches stand today, neither built before 1870... There were two churches beforehand: Our Lady of the Assumption in 1838 and St. Lawrence in 1850. There's no St. John's here that I can find. https://archives.themiscellany.org/2011/05/26/stanne-sumter/ | https://www.sasjrcc.org/about-us/our-history/",,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0034,﻿church,not recorded,English,,,,,,﻿Sumpter,,﻿SC,,34.00550865,-81.03810855,,﻿[visited by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9013,﻿station,not recorded,English,﻿other stations in the N. Western part of the State,,,,,﻿Fairfield,,﻿SC,,34.00550865,-81.03810855,,﻿[visited by] Rev. John Bermingham,,﻿tim_bermingham_001,﻿Rev.,﻿John Bermingham,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9013,﻿station,not recorded,English,﻿other stations in the N. Western part of the State,,,,,﻿Fairfield,,﻿SC,,34.00550865,-81.03810855,,﻿[visited by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0015,﻿church,﻿St. Andrew's,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.2448733,-81.3587177,﻿cha.sc.0001,﻿visited occasionally from Charleston,,,,,,,,,,,,1837,,,﻿St. Andrew's | https://en.wikipedia.org/wiki/Saint_Andrew%27s_Catholic_Church,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9003,﻿church,﻿St. James',English,,,,﻿Colleton District,﻿Colleton County,,﻿Walterboro,﻿SC,﻿SC,33.2448733,-81.3587177,﻿cha.sc.0001,﻿visited occasionally from Charleston,,,,,,,,,,,,1837,,,﻿https://schpr.sc.gov/index.php/Detail/properties/26792,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0007,﻿church,not recorded,English,,﻿St. Sullivan's Island,﻿near Charleston,,,,,﻿SC,,33.2448733,-81.3587177,,,,,,,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,﻿Mass on Sundays during every second month,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.05259752,-78.87660777,,﻿[visited by] Rev. Peter Wheelan,,﻿pet_whelan_901,﻿Rev.,﻿Peter Wheelan,,,,,,,,1837,,,﻿https://www.stpatnc.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,﻿Mass on Sundays during every second month,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,,35.05259752,-78.87660777,,﻿[visited by] Rev. Francis Farrell,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrell,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0018,﻿church,not recorded,English,,,,,,﻿Raleigh,,﻿NC,,35.05259752,-78.87660777,,﻿[visited by] Rev. Peter Wheelan,,﻿pet_whelan_901,﻿Rev.,﻿Peter Wheelan,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
