instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77642653,-79.93453937,,,,﻿ric_s_baker_001,﻿Rev.,﻿R. S. Baker,,﻿Pastor,,,,,,1838,﻿https://en.wikipedia.org/wiki/Cathedral_of_Saint_John_and_Saint_Finbar ; https://charlestoncathedral.com/history/,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,,,﻿joh_boyle_901,﻿Rev.,﻿John Boyle,,﻿Assistant,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hassel st.,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78189079,-79.93286629,,,,﻿rob_browne_901,﻿Rev.,﻿Robert Browne,,﻿Pastor,,,,,,1838,﻿https://www.sma.church/our-history.html,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hassel st.,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.78189079,-79.93286629,,,,﻿joh_fielding_901,﻿Rev.,﻿John Fielding,,﻿Assistant,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,﻿Charleston Neck,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.7882253,-79.9403921,,,,﻿joh_fielding_901,﻿Rev.,﻿Patrick O'Neill,,,,,,,,1838,﻿https://www.stpatrickcharleston.org/history,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0023,﻿station,not recorded,English,,,,,,﻿Beaufort,,﻿SC,,32.439429,-80.670543,﻿cha.sc.0001,﻿visited from Charleston,,,,,,,,,,,,1838,"﻿this church history mentions the pre-church history, making me think it is likely the same place: https://www.stpetersbeaufort.org/parish-history",,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9003,﻿station,﻿St. James',English,,,,﻿Colleton District,﻿Colleton County,,﻿Walterboro,﻿SC,﻿SC,,,﻿cha.sc.0001,﻿visited from Charleston,,,,,,,,,,,,1838,﻿https://schpr.sc.gov/index.php/Detail/properties/26792,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,﻿SC,34.00550865,-81.03810855,,,,﻿tim_bermingham_001,﻿Rev.,﻿Timothy Bermingham,,,,,,,,1838,﻿https://www.visitstpeters.org/our-history,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,,34.00550865,-81.03810855,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,﻿resides near Columbia,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0034,﻿station,not recorded,English,,,,﻿Sumter County,,﻿Sumter,,﻿SC,,,,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,"﻿2 churches stand today, neither built before 1870... There were two churches beforehand: Our Lady of the Assumption in 1838 and St. Lawrence in 1850. There's no St. John's here that I can find. https://archives.themiscellany.org/2011/05/26/stanne-sumter/ | https://www.sasjrcc.org/about-us/our-history/",,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9014,﻿station,not recorded,English,,,,﻿Sumter County,,﻿Statesburg,,﻿SC,,,,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9015,﻿station,not recorded,English,,,,﻿Kenshaw County,,﻿Camden,,﻿SC,,,,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0026,﻿station,not recorded,English,,,,﻿Fairfield County,,﻿Winsboro,﻿Winnsboro,﻿SC,,,,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9016,﻿station,not recorded,English,,,,,,﻿Newberry,,﻿SC,,,,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
