instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
,﻿church,﻿St. Patrick's,English,,,,,,,,,,,,,,,,﻿Rt. Ref.,﻿S. H. Rosecrans,﻿D.D.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Patrick's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Francis Gonesse,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Patrick's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿P. J. Daly,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Patrick's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿G. H. Ahrens,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Holy Cross,English,,,,,,,,,,,,,,,,﻿Very Rev.,﻿J. B. Hemsteger,﻿V.G.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Holy Cross,English,,,,,,,,,,,,,,,,,﻿—,,﻿Assistant,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Mary's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿F. X. Specht,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿chapel,﻿Chapel of St. Francis' Hospital,English,,,,,,,,,,,,,,,,﻿Rev.,﻿B. Hillebrand,,﻿Chaplain,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿chapel,﻿Chapel at the Convent of the Good Shepard,English,,,,,,,,,,,,,﻿Attended from St. Patrick's,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿chapel,﻿Chapel at the Academy of St. Mary's of the Springs,English,,,,,,,,,,,,,,,,﻿Rev.,﻿O. M. Clarkson,﻿O.P.,﻿Chaplain,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿chapel,﻿Chapel of the Sisters of Notre Dame,English,,,,,,,,,,,,,﻿Attended from Holy Cross,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿settlement,﻿Chapel of the Sisters of Notre Dame,English,,,,,,,,,,,,,﻿Attended from Enoch,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿Chapel of the Sisters of Notre Dame,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. E. McSwiny,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. John's,English,,,,,,,,,,,,,﻿Attended by Rev. J. M. Jacquet,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Martin's,English,,,,,,,,,,,,,﻿Attended from Canal Dover,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Church of the Sacred Heart,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. W. Brummer,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿B. Wismann,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Francis',English,,,,,,,,,,,,,,,,﻿Rev.,﻿Joseph N. Brogard,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Francis',English,,,,,,,,,,,,,﻿Attended from Delaware,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Seven Dolors,English,,,,,,,,,,,,,﻿Attended from Logan,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿C. L. Pindar,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Lev. Adams,﻿O.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. George's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. G. Nordmeier,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Luke's,English,,,,,,,,,,,,,﻿Attended from Mt. Vernon,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Barnabas',English,,,,,,,,,,,,,﻿Attended from Chapel Hill,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Mary's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿H. Fehlings,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Mary's,English,,,,,,,,,,,,,﻿Attended from Enoch,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Matthew's,English,,,,,,,,,,,,,﻿Attended from Coshocton,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Immaculate Conception,English,,,,,,,,,,,,,,,,﻿Rev.,﻿D. J. Klüber,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Patrick's,English,,,,,,,,,,,,,﻿Attended from Enoch,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Louis,English,,,,,,,,,,,,,﻿Attended from Pomeroy,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Our Lady of Good Hope,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. W. Brummer,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿Our Lady of Good Hope,English,,,,,,,,,,,,,﻿Attended from Columbus,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿Our Lady of Good Hope,English,,,,,,,,,,,,,﻿Attended from Ironton,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿Our Lady of Good Hope,English,,,,,,,,,,,,,﻿Attended from Zaleski,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Patrick's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. V. Ealen,﻿O.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Lawrence's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Ph. O'Donoghoo,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿H. Fisher,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Elizabeth,English,,,,,,,,,,,,,﻿Attended from Coshocton,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Mary's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Louis de Cailly,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Peter's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿H. H. Mayrose,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. John's,English,,,,,,,,,,,,,﻿Attended from Lick Run,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Francis Xavier,English,,,,,,,,,,,,,﻿Attended from Canal Dover,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. John's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿E. Thienpont,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. John's,English,,,,,,,,,,,,,﻿Attended from Pomeroy,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Immaculate Conception,English,,,,,,,,,,,,,﻿Attended from Canal Dover,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿Immaculate Conception,English,,,,,,,,,,,,,﻿Attended from Lick Run,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Mary's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿M. J. D. Ryan,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Mary's,English,,,,,,,,,,,,,﻿Attended from Columbus,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. James',English,,,,,,,,,,,,,﻿Attended from Marietta,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Genevieve's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. A. Heimo,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Vincent of Paul,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. A. Brent,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Francis de Sales,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Louis Cartuyvels,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Francis de Sales,English,,,,,,,,,,,,,﻿Attended from Ironton,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Sacred Heart,English,,,,,,,,,,,,,,,,﻿Rev.,﻿John Kalenberg,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Holy Trinity,English,,,,,,,,,,,,,﻿Attended from Portsmouth,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Church of the Nativity,English,,,,,,,,,,,,,,,,﻿Rev.,﻿F. Karge,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Holy Redeemer,English,,,,,,,,,,,,,,,,﻿Rev.,﻿A. O. Walker,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Holy Trinity,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. A. Rotchford,﻿V.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿Holy Trinity,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. S. Collins,﻿O.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Peter's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿W. T. Bigelow,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. James',English,,,,,,,,,,,,,﻿Attended from Marietta,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. D. Sheehy,﻿V.P.,﻿Superior,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿R. V. Keogh,﻿V.P.,﻿Procurator,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. V. Edlin,﻿V.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Joseph's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿D. H. Noon,﻿V.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Dominic's,English,,,,,,,,,,,,,"﻿Attended by Rev. Lev. Adams, V.P.",,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Pius,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Lev. Adams,﻿O.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Pius,English,,,,,,,,,,,,,﻿Attended from Pomeroy,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Pius,English,,,,,,,,,,,,,﻿Attended from Zanesville,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Pius,English,,,,,,,,,,,,,﻿Attended from Columbus,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. John's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿M. Eppink,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Ann's,English,,,,,,,,,,,,,﻿Attended from Coshocton,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Mary's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Michael Ahern,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿religious institution,﻿St. Mary's,English,,,,,,,,,,,,,﻿Attended from Columbus,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Silvester's,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. E. McSwiny,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Thomas',English,,,,,,,,,,,,,,,,﻿Rev.,﻿B. A. Brady,﻿V.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Thomas',English,,,,,,,,,,,,,,,,﻿Rev.,﻿T. J. Cady,﻿O.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿church,﻿St. Nicholas,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. J. Rauck,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿convent,﻿Dominican Convent,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. D. Sheehy,﻿V.P.,﻿Superior,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿convent,﻿Dominican Convent,English,,,,,,,,,,,,,,,,﻿Rev.,﻿R. V. Keogh,﻿V.P.,﻿Procurator,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿convent,﻿Dominican Convent,English,,,,,,,,,,,,,,,,﻿Rev.,﻿J. V. Edlen,﻿V.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿convent,﻿Dominican Convent,English,,,,,,,,,,,,,,,,﻿Rev.,﻿Lev. Adams,﻿V.P.,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿convent,﻿Dominican Convent,English,,,,,,,,,,,,,,,,﻿Rev.,﻿D. H. Noon,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿academy,﻿St. Mary's of the Springs Academy,English,,,,,,,,,,,,,,,,﻿Mother,﻿Rose,,﻿Superior,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿academy,﻿St. Mary's of the Springs Academy,English,,,,,,,,,,,,,,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿convent,﻿Convent of the Sisters of the Good Shepard,English,,,,,,,,,,,,,,,,﻿Sister,﻿Gertrude,,﻿Superior,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿hospital,﻿St. Francis' Hospital,English,,,,,,,,,,,,,,,,﻿Sister,﻿Desideria,,﻿Superior,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿hospital,﻿St. Francis' Hospital,English,,,,,,,,,,,,,,,,﻿Rev.,﻿B. Hillebrand,,﻿Chaplain,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿consecrated life institution,﻿Sisters of Notre Dame,English,,,,,,,,,,,,,,,,﻿Sister,﻿Mary Ligouri,,﻿Superior,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿school,"﻿St. Patrick's Schools, for boys",English,,,,,,,,,,,,,,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿school,"﻿St. Patrick's Schools, for girls",English,,,,,,,,,,,,,,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
,﻿school,"﻿Holy Cross Parish Schools, for boys and girls",English,,,,,,,,,,,,,,,,,,,,,,,,,1869,﻿,﻿,Columbus,Columbus
