instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cov.kt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿8th street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,38.5731349,-82.8301677,,,,﻿tho_r_butler_001,﻿Very Rev.,﻿T. R. Butler,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿8th street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,38.5731349,-82.8301677,,,,﻿l_d_willie_001,﻿Rev.,﻿Lambert D. Willie,,﻿Assistant,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,"﻿8th street, between Greenup and Scott",,,,﻿Covington,﻿Covington,﻿KY,,38.5731349,-82.8301677,,,,,﻿Rev.,﻿William D'Arcy,,﻿Assistant,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0002,﻿church,﻿Church of the Mother of God,﻿German,,﻿6th street,,,,﻿Covington,﻿Covington,﻿KY,,39.0839493,-84.5126119,,,,﻿fer_kuhr_001,﻿Rev.,﻿F. Kühr,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0002,﻿church,﻿Church of the Mother of God,﻿German,,﻿6th street,,,,﻿Covington,﻿Covington,﻿KY,,39.0839493,-84.5126119,,,,,﻿Rev.,﻿Anton Rutter,,﻿Assistant,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0110,﻿church,﻿St. John the Evangelist,﻿German,,,,,,﻿Covington,﻿Covington,﻿KY,,39.0839493,-84.5126119,,,,,﻿Rev.,﻿Andrew Michell,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0004,﻿church,﻿St. Joseph's,﻿German,,﻿12th street,,,,﻿Covington,﻿Covington,﻿KY,,39.0760976,-84.5184102,,,,,﻿Very Rev.,﻿Odillo Vandengreen,﻿O.S.B,"﻿Prior, Pastor",,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0004,﻿church,﻿St. Joseph's,﻿German,,﻿12th street,,,,﻿Covington,﻿Covington,﻿KY,,39.0760976,-84.5184102,,,,,﻿Rev.,﻿F. Gabriel Blumm,﻿O.S.B,,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0004,﻿church,﻿St. Joseph's,﻿German,,﻿12th street,,,,﻿Covington,﻿Covington,﻿KY,,39.0760976,-84.5184102,,,,,﻿Rev.,﻿Gregory Bauer,﻿O.S.B,,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0004,﻿church,﻿St. Joseph's,﻿German,,﻿12th street,,,,﻿Covington,﻿Covington,﻿KY,,39.0760976,-84.5184102,,,,,﻿Rev.,﻿F. Columban Schmitbauer,﻿O.S.B,,,﻿lay brothers,﻿and 4 lay brothers,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0007,﻿church,﻿St. Mary's of the Assumption,English,,,,﻿Campbell County,,﻿Alexandria,﻿Alexandria,﻿KY,,38.955063,-84.3892534,﻿cov.kt.0022,﻿attended from Four Mile,,,,,,,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0008,﻿church,not recorded,English,﻿brick church,,,﻿Boyd County,,﻿Ashland,﻿Ashland,﻿KY,,38.4784144,-82.6379387,,,,,﻿Rev.,﻿Lambert Young,,﻿resident priest,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0009,﻿church,﻿Church of St. Augustine,English,﻿large brick church,,,﻿Bracken County,,﻿Augusta,﻿Augusta,﻿KY,,38.7717376,-84.0057628,﻿cov.kt.0004,"﻿att. from St. Joseph's Church, Covington, by Benedictine Fathers",,,,,,,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0010,﻿church,not recorded,English,,,,﻿Bath County,,﻿Bethel,﻿Bethel,﻿KY,,38.2450771,-83.8679779,﻿cov.kt.0028,﻿attended from Lexington,﻿twice a year,,,,,,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0011,﻿church,not recorded,English,,,,﻿Madison County,,﻿Boonesborough,﻿Boonesborough,﻿KY,,37.9084122,-84.2718753,﻿cov.kt.0028,﻿attended from Lexington,﻿twice a year,,,,,,,,,,,1864,﻿,﻿,﻿Covington,Covington
﻿cov.kt.0012,﻿church,not recorded,English,﻿attached to Augusta Mission,,,,,﻿Brookville,﻿Brooksville,﻿KY,,38.6825719,-84.0657632,,,,,,,,,,,,,,1864,﻿,﻿,﻿Covington,Covington
