instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿det.mi.0002,﻿cathedral,﻿Cathedral of St. Ann,"﻿German, French, English","﻿Sermons in German, French and English.",,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,﻿MI,42.320833,-83.076667,,,,﻿fre_réze_901,﻿Right Rev.,﻿Frederick Rézé,﻿D.D.,,,,,,,1837,﻿https://ste-anne.org/about-us/parish-history/ ; https://en.wikipedia.org/wiki/Basilica_of_Sainte_Anne_de_D%C3%A9troit,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0002,﻿cathedral,﻿Cathedral of St. Ann,"﻿German, French, English","﻿Sermons in German, French and English.",,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.320833,-83.076667,,,,﻿vin_badin_901,﻿Rev.,﻿Vincent Badin,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0002,﻿cathedral,﻿Cathedral of St. Ann,"﻿German, French, English","﻿Sermons in German, French and English.",,,,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.320833,-83.076667,,,,﻿mar_kundig_001,﻿Rev.,﻿Martin Kundig,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9007,﻿church,﻿Trinity Church,English,,,,,,﻿Detroit,,﻿MI,,42.320833,-83.076667,,,,﻿ber_ocavanagh_901,﻿Rev.,﻿Bernard O'Cavanagh,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9007,﻿church,﻿St. Clare's,English,,,,,,﻿Detroit,,﻿MI,,42.320833,-83.076667,,,,﻿s_a_bernier_901,﻿Rev.,﻿S. A. Bernier,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0018,﻿church,not recorded,English,,,,,,﻿Ann Arbour,﻿Ann Arbor,﻿MI,,42.2857551,-83.7413768,,,,﻿kelly_901,﻿Rev. Mr.,﻿Kelly,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0018,﻿church,not recorded,English,,,,,,﻿Ann Arbour,﻿Ann Arbor,﻿MI,,42.2857551,-83.7413768,,,,﻿morrissey_901,﻿Rev. Mr.,﻿Morrissey,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,﻿Arbre Croche,,,﻿Emmet County,,,﻿MI,﻿MI,45.62643692,-85.07105266,,,,,,,,,,,,,,1837,﻿https://en.wikipedia.org/wiki/L%27Arbre_Croche ; https://www.cclcparishes.org/historic-holy-childhood-mission--church-and-school.html,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,not recorded,English,,﻿Bay Settlement,,﻿Munroe County,﻿Emmet County,,,﻿MI,,45.62643692,-85.07105266,,,,﻿pet_warlop_001,﻿Rev. Mr.,﻿Warlop,,,,,,,,1837,﻿https://www.hmdb.org/results.asp?Search=County&state=Michigan&county=Monroe%20County,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,﻿St. Joseph's,English,,﻿Bay Settlement,,﻿Munroe County,﻿Emmet County,﻿Bertrand,,﻿MI,,45.62643692,-85.07105266,,,,﻿alwill_901,﻿Rev. Mr.,﻿Alwill,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,﻿St. Joseph's,English,,﻿Fond du lac Superieur,,﻿Munroe County,﻿Emmet County,﻿Bertrand,,﻿MI,,45.62643692,-85.07105266,,,,﻿fra_x_pierz_001,﻿Rev. Mr.,﻿Pierz,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,﻿St. Joseph's,English,,﻿A la Croix,,﻿Munroe County,﻿Emmet County,﻿Bertrand,,﻿MI,,45.62643692,-85.07105266,,,,﻿fra_x_pierz_001,﻿Rev. Mr.,﻿Pierz,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.9000,﻿church,﻿St. Joseph's,English,,﻿A la Croix,,﻿Munroe County,﻿Emmet County,﻿Fort Winebago,,﻿MI,,45.62643692,-85.07105266,,,﻿[visited] once in two months [by] Rev. Theod. J. Vanden Broek,﻿the_j_vandenbroeck_901,﻿Rev.,﻿Theod. J. Vanden Broek,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9005,﻿church,not recorded,﻿English,﻿Instructions in the English language,﻿Grand River,,,,,,﻿MI,﻿MI,45.62643692,-85.07105266,,,,﻿vizosky_901,﻿Rev. Mr.,﻿Vizosky,,,,,,,,1837,﻿https://en.wikipedia.org/wiki/Grand_River_(Michigan),,﻿,﻿,﻿Detroit,Detroit
﻿gre.wi.0002,﻿church,not recorded,﻿French and Menomony,﻿Sermons in French and Menomony.,,,,﻿Brown County,﻿Green Bay,﻿Green Bay,,﻿WI,44.50854102,-88.01525685,,,,﻿fra_hetscher_901,﻿Rev. Mr.,﻿Hetscher,,,,,,"﻿Served by a Seminary of Liguorists, 5 in No.",,1837,﻿https://www.gbdioc.org/history/,,﻿,﻿,﻿Detroit,Detroit
﻿gre.wi.0002,﻿church,not recorded,﻿French and Menomony,﻿Sermons in French and Menomony.,﻿Little Shoot Cockalin,,,﻿Brown County,﻿Green Bay,﻿Little Chute,,﻿WI,44.284167,-88.313611,,,,﻿the_j_vandenbroeck_901,﻿Rev.,﻿Theodore J. Vanden Broek,,,,,,"﻿Served by a Seminary of Liguorists, 5 in No.",,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.0011,﻿church,not recorded,English,,,,,,﻿Machinac,,,,44.284167,-88.313611,,,,﻿flo_bonduel_901,﻿Rev.,﻿F. Bonduel,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0114,﻿church,not recorded,English,,,,,﻿Monroe County,﻿Monroe,﻿Monroe,﻿MI,﻿MI,41.91855135,-83.39685624,,,,﻿carabin_901,﻿Rev. Mr.,﻿Carabin,,,,,,,,1837,﻿https://www.stmarymonroe.org/history,,﻿,﻿,﻿Detroit,Detroit
﻿lac.wi.0019,﻿church,not recorded,English,,,,,,﻿Prairie du Chien,,﻿WI,,41.91855135,-83.39685624,,,,﻿sam_mazzuchelli_901,﻿Rev.,﻿S. Mazzuchelli,,,,,,,,1837,﻿https://www.prairieduchien.org/history/,,﻿,﻿,﻿Detroit,Detroit
﻿mar.mi.0082,﻿church,not recorded,English,,,,,,﻿Sault Ste. Marie,,﻿MI,,41.91855135,-83.39685624,,,,﻿fra_hetscher_901,﻿Rev. Mr.,﻿Hetscher,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9001,﻿church,﻿St. Joseph's,English,,,,,,,,﻿MI,,41.91855135,-83.39685624,,,,﻿ste_t_badin_901,﻿Rev.,﻿S. T. Badin,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9001,﻿church,﻿St. Joseph's,English,,,,,,,,﻿MI,,41.91855135,-83.39685624,,,,﻿deseilles_901,﻿Rev. Mr.,﻿Deseilles,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.0083,﻿church,﻿St. Paul,English,,,,,,,,,,42.3861485,-82.9118591,,﻿Visited alternately by Rev. Mr. Bohemes,,﻿bohemes_901,﻿Rev. Mr.,﻿Bohemes,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9002,﻿church,﻿St. Felicite,English,,,,,,,,,,42.3861485,-82.9118591,,﻿Visited alternately by Rev. Mr. Bohemes,,﻿bohemes_901,﻿Rev. Mr.,﻿Bohemes,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9003,﻿church,﻿St. Francis,English,,,,,,,,,,42.3861485,-82.9118591,,﻿Visited alternately by Rev. Mr. Bohemes,,﻿bohemes_901,﻿Rev. Mr.,﻿Bohemes,,,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9003,﻿church,﻿St. Francis,English,,,,,,,,,,42.3861485,-82.9118591,,,,﻿bowens_901,﻿Rev. Mr.,﻿Bowens,,﻿General Missionary,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9003,﻿college,﻿St. Philip's College,English,,,﻿Cote Du Nord-est,,,﻿Detroit,,﻿MI,,42.3861485,-82.9118591,,,,﻿fre_réze_901,﻿Right Rev. Dr.,﻿RESE,,﻿Bishop of Detroit,,,,,,1837,,"﻿The course of instruction pursued in the College will embrace the Latin, Greek, French and English languages, Poetry, Rhetoric and Oratory, Reading, Writing, Geography, Mathematics and Book-Keeping. A favorable opportunity to become well conversant with the French language, will be found in the intercourse with the pupils whose native tongue is French. Strict attention will be paid to the moral conduct of the students, and no infraction of the disciplinary rules of the College will be connived at; in case of delinquency, the delinquent will first be admonished, and if admonition, or if mild and paternal punishments prove ineffectual, he will be sent back to his parents or guardians.",﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9003,﻿college,﻿St. Philip's College,English,,,﻿Cote Du Nord-est,,,﻿Detroit,,﻿MI,,42.3861485,-82.9118591,,,,﻿vandenpoel_901,﻿Rev. Mr.,﻿Vandenpoel,,﻿Superior of the Institution,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
﻿det.mi.9003,﻿college,﻿St. Philip's College,English,,,﻿Cote Du Nord-est,,,﻿Detroit,,﻿MI,,42.3861485,-82.9118591,,,,﻿joh_de-bruyn_901,﻿Rev. Mr.,﻿De Bruyn,,﻿President of Studies,,,,,,1837,,,﻿,﻿,﻿Detroit,Detroit
