instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.4951947,-90.6668325,,,,﻿joh_hennessy_001,﻿Rt. Rev.,﻿John Hennessy,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.4951947,-90.6668325,,,,﻿tho_oreily_001,﻿Very Rev.,﻿Thomas O'Reily,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.4951947,-90.6668325,,,,﻿mar_j_brazill_001,﻿Rev.,﻿Martin J. Brazill,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.4951947,-90.6668325,,,,﻿jam_b_mcgowm_001,﻿Rev.,﻿James B. McGowm,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.506691,-90.6692977,,,,﻿fra_walsh_001,﻿Rev.,﻿Francis Walsh,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0003,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.50767966,-90.66700683,,,,﻿a_meiss_001,﻿Rev.,﻿Aloysius Meiss,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0004,﻿church,﻿St. Joseph's,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.5831975,-90.8836303,,,,﻿t_j_donaghoe_001,﻿Very Rev.,﻿T. I. Donaghoe,,﻿V.G.,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0005,﻿church,﻿St. Catherine's,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.4059085,-90.5919455,,,,﻿joh_ryan_002,﻿Rev.,﻿John Ryan,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0006,﻿church,﻿St. Donatus,﻿German,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.3608433,-90.5392951,,,,﻿m_flamang_001,﻿Rev.,﻿Michael Flamang,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0237,﻿church,﻿St. Theresa's,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.49755027,-90.69335769,,,,﻿joh_b_gaffney_001,﻿Rev.,﻿John B. Gaffney,,,,,,,,1868,﻿,﻿,﻿Dubuque,Dubuque
