instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie city,﻿Erie,﻿PA,,42.1402924,-80.0621357,,,,,﻿The Bishop,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie city,﻿Erie,﻿PA,,42.1402924,-80.0621357,,,,,﻿Very Rev.,﻿John D. Coady,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿9th street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1288429,-80.0761177,,,,,﻿Rev.,﻿Casimir Seitz,﻿O.S.B.,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿9th street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1288429,-80.0761177,,,,,﻿Rev.,﻿Meinrad Jeggle,﻿O.S.B.,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿9th street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1288429,-80.0761177,,,,,﻿Rev.,﻿Erhard Vanino,﻿O.S.B.,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0046,﻿church,﻿St. Francis,English,,"﻿Erie, P. O.",,﻿Erie County,,﻿McKean Township,﻿McKean,﻿PA,,41.9968852,-80.1433144,,,,,﻿Rev.,﻿F. J. Oberhofer,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0010,﻿church,﻿St. Boniface,English,,"﻿Erie, P. O.",,﻿Erie County,,﻿Green Township,,﻿PA,,42.0666555,-79.9704256,,,,,﻿Rev.,﻿F. J. Oberhofer,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0036,﻿church,﻿St. John's,English,,,,﻿Erie County,,﻿Girard Village,﻿Girard,﻿PA,,42.0003337,-80.3181193,,﻿attended from Erie,﻿3d Sunday,,,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0020,﻿church,﻿St. Thomas,English,,,,﻿Erie County,,﻿Corry,﻿Corry,﻿PA,,41.9203337,-79.6403287,﻿erie.pa.0080,"﻿Rev. Thomas Lonergan, of Warren, Warren Co.",,,,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0020,﻿church,﻿St. Bridget's,English,,,,﻿Erie County,,﻿Union Mills,﻿Corry,﻿PA,,41.9203337,-79.6403287,﻿erie.pa.0080,"﻿Rev. Thomas Lonergan, of Warren, Warren Co.",,,﻿Rev.,﻿T. Lonergan,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0048,﻿church,﻿St. Agatha's,﻿German,,,,﻿Crawford County,,﻿Meadville,﻿Meadville,﻿PA,,41.6351647,-80.150752,,,,﻿a_reck_002,﻿Rev.,﻿A. Reek,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0047,﻿church,﻿St. Bride's,English,,,,﻿Crawford County,,﻿Meadville,﻿Meadville,﻿PA,,41.635644,-80.1506365,,,,,﻿Rev.,﻿A. R. Giliberti,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0017,﻿church,﻿St. Hippolytus,English,,,,﻿Crawford County,,﻿Mead Township,,﻿PA,,41.6620352,-80.1266814,,,,,﻿Rev.,﻿M. A. De La Rocque,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0024,﻿church,﻿St. Peter and Paul,English,,,,﻿Crawford County,,﻿Randolph Township,,﻿PA,,41.829255,-80.2375065,,,,,﻿Rev.,﻿David Snively,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0076,﻿church,﻿St. Titus,English,,,,﻿Crawford County,,﻿Titusville,﻿Titusville,﻿PA,,41.6278904,-79.681405,,,,,﻿Rev.,﻿M. A. De La Rocque,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0076,﻿church,﻿St. Stephen's,English,,,,﻿Crawford County,,﻿Oil Creek,﻿Titusville,﻿PA,,41.6278904,-79.681405,,,,,﻿Rev.,﻿Wm. H. Oram.,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0026,﻿church,﻿Immaculate Heart of Mary,English,,,,﻿Crawford County,,﻿Rome Township,,﻿PA,,41.6661391,-80.2767327,,,,,﻿Rev.,﻿Wm. H. Oram.,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0023,﻿church,﻿St. Phillip's,English,,,,﻿Crawford County,,﻿Crossingville,﻿Crossingville,﻿PA,,41.8297778,-80.2389489,,,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,﻿of Crossingville,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0019,﻿church,﻿St. Mary's,English,,,,﻿Crawford County,,﻿Conneautville,﻿Conneautville,﻿PA,,41.757833,-80.3678424,,,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,﻿of Crossingville,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0042,﻿church,﻿St. Mary's,English,,,,﻿Crawford County,,﻿Summit top,﻿Summit Township,﻿PA,,42.0298052,-80.0423151,,,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,﻿of Crossingville,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0012,﻿station,not recorded,English,,,,﻿Crawford County,,﻿Linesville,,﻿PA,,41.6561656,-80.4239562,,,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,﻿of Crossingville,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0005,﻿station,not recorded,English,,,,﻿Crawford County,,﻿Albion,﻿Albion,﻿PA,,41.8906112,-80.3664542,,,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,﻿of Crossingville,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0049,﻿church,﻿All Saints,English,,﻿two miles from town,,﻿Mercer County,,﻿Mercer,﻿Mercer,﻿PA,,41.2270025,-80.2397852,,,,﻿j_j_gallaher_001,﻿Rev.,﻿J. J. Gallagher,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0068,﻿church,﻿St. Joseph's,English,,,,﻿Mercer County,,﻿Sharon,﻿Sharon,﻿PA,,41.2331116,-80.4934035,,,,﻿t_j_hartmann_001,﻿Rev.,﻿F. J. Hartmann,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0038,﻿church,﻿St. Michael's,English,,,,﻿Mercer County,,﻿West Greenville,﻿Greenville,﻿PA,,41.404499,-80.3911785,,,,﻿t_j_hartmann_001,﻿Rev.,﻿F. J. Hartmann,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0043,﻿station,not recorded,English,,,,﻿Mercer County,,﻿Jamestown,﻿Jamestown,﻿PA,,41.4847758,-80.4375687,﻿erie.pa.0038,﻿attended from Greenville,,﻿t_j_hartmann_001,﻿Rev.,﻿F. J. Hartmann,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0014,﻿station,not recorded,English,,,,﻿Mercer County,,﻿Clarksville,,﻿PA,,41.2861669,-80.4275684,﻿erie.pa.0038,﻿attended from Greensville,,﻿t_j_hartmann_001,﻿Rev.,﻿F. J. Hartmann,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0014,﻿station,not recorded,English,,,,﻿Mercer County,,﻿West Salem,,﻿PA,,41.2861669,-80.4275684,,,,﻿t_j_hartmann_001,﻿Rev.,﻿F. J. Hartmann,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0014,﻿church,﻿St. Bernard's,English,,,,﻿Venango County,,﻿Neilsburgh,,﻿PA,,41.2861669,-80.4275684,,,,﻿dav_snively_001,﻿Rev.,﻿D. Snively,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0055,﻿church,not recorded,English,﻿a church to be built,,,﻿Venango County,,﻿Oil City,﻿Oil City,﻿PA,,41.4339484,-79.7064413,,,,,﻿Rev.,﻿David Snively,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0022,﻿church,﻿St. Rose,English,,,,﻿Venango County,,﻿Cranberry Township,﻿Cranberry Township,﻿PA,,41.3896611,-79.8296743,﻿erie.pa.0013,"﻿Rev. John Koch, of Clarion",,,,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0029,﻿church,not recorded,English,﻿church to be built,,,﻿Venango County,,﻿Franklin,﻿Franklin,﻿PA,,41.3978358,-79.8314437,,,,﻿dav_snively_001,﻿Rev.,﻿D. Snively,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0013,﻿church,﻿Immaculate Conception,English,,,,﻿Clarion County,,﻿Clarion,,﻿PA,,41.2133846,-79.3812441,,,,,﻿Rev.,﻿John Koch,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0008,﻿church,﻿B. V. Help of Christians,English,,,,﻿Clarion County,,﻿Farmington,,﻿PA,,41.1982095,-79.4703885,,,,,﻿Rev.,﻿John Koch,,,﻿who attends several Stations amid the Iron Furnaces,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0033,﻿church,﻿St. Michael's,English,,,,﻿Clarion County,,﻿Freyburgh,﻿Fryburg,﻿PA,,41.3536732,-79.4381013,,,,,﻿Rev.,﻿Andrew Skopez,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0011,﻿church,﻿St. Joseph,English,,,,﻿Clarion County,,﻿Knox,,﻿PA,,41.3200651,-79.391605,,,,,﻿Rev.,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0016,﻿church,﻿St. Nicholas,English,,﻿Arondell,,﻿Clarion County,,﻿Limestone,,﻿PA,,41.1238761,-79.3127543,,,,,﻿Rev.,﻿S. G. Molinger,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0062,﻿church,﻿St. Charles's,English,﻿a chapel,,,﻿Clarion County,,﻿Redbank,﻿Farmington Township,﻿PA,,41.3580734,-79.2676668,,,,,﻿Rev.,﻿S. G. Molinger,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
