instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,,,,,,,﻿Rt. Rev.,﻿John H. Luers,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,,,,,,,﻿Very Rev.,﻿Julian Benoit,,"﻿Pastor, V.G.",,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,,,,,,,﻿Rev.,﻿Edward P. Walters,,,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,,,,,,,﻿Rev.,﻿Joseph Weutz,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,,,,,,﻿a_a_heitmann_001,﻿Rev.,﻿A. Heitmann,,,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0003,﻿church,﻿St. Paul's,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,,,,,,﻿edw_koenig_001,﻿Rev.,﻿E. Koenig,,,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0005,﻿church,﻿St. Patrick's,English,,,,﻿Allen County,﻿Allen County,﻿Arcola,﻿Arcola,﻿IN,,,,﻿for.in.0023,﻿Attended from Columbia City,,,,,,,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0006,﻿church,﻿St. Francis',English,,,,﻿Fountain County,﻿Fountain County,﻿Attica,﻿Attica,﻿IN,,,,,,,,﻿Rev.,﻿Joseph Rademacher,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0007,﻿church,﻿Assumption B.V.M.,English,,,,﻿Noble County,﻿Noble County,﻿Avilla,﻿Avilla,﻿IN,,,,,,,,﻿Rev.,﻿Dominic Duehmig,,,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0008,﻿church,not recorded,English,﻿no church,,,﻿DeKalb County,﻿DeKalb County,﻿Auburn,﻿Auburn,﻿IN,,,,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1868,﻿,﻿,﻿Fort Wayne,FortWayne
