instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.3041654,-94.7906312,,,,﻿cm_dubuis_001,﻿Rt. Rev.,﻿C.M. Dubuis,﻿D.D.,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.3041654,-94.7906312,,,,﻿l_c_chambodut_001,﻿Very Rev.,﻿L. C. M. Chambodut,,﻿Vicar-General,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.3041654,-94.7906312,,,,,﻿Rev.,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0002,﻿church,﻿St. Joseph's Church,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.2996052,-94.790738,,,,﻿j_anstaett_001,﻿Very Rev.,﻿Joseph Anstaett,,﻿Vice-Chancellor,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0154,﻿college,﻿St. Mary's College,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.307284,-94.775763,,,,﻿a_krouss_001,﻿Rev.,﻿A. Krouss,,﻿Chaplain,,,,﻿under the care of the Brothers of the Christian Doctrine,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0154,﻿college,﻿St. Mary's College,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.307284,-94.775763,,,,,﻿Brother,﻿Joachim,,﻿Director,,﻿brother,﻿4 brothers,﻿under the care of the Brothers of the Christian Doctrine,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.2932236,-94.799717,,,,,﻿Madame,﻿de St. Pierre,,﻿Mother Superior,,﻿sister,﻿19 sisters,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.2932236,-94.799717,,,,,,,,,,﻿boarder,﻿75 boarders,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0158,﻿convent,﻿Ursuline Convent,English,,,,﻿Galveston County,﻿Galveston County,﻿Galveston,﻿Galveston,﻿TX,,29.2932236,-94.799717,,,,,,,,,,﻿day-scholar,﻿150 day-scholars,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0003,﻿church,not recorded,English,,,,﻿Grimes County,﻿Grimes County,﻿Anderson,﻿Anderson,﻿TX,,30.4887461,-95.9864698,﻿gal.tx.0061,﻿attended from Hidalgo Prairie,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0004,﻿church,not recorded,English,,,,﻿Nacogdoches County,﻿Angelina County,﻿Angelina,,﻿TX,,31.6353071,-94.645035,﻿gal.tx.0092,﻿attended from Nacogdoches,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0005,﻿church,not recorded,English,,,,﻿Cameron County,,﻿Arenal,,﻿TX,,26.1284971,-97.5247243,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0006,﻿church,not recorded,English,,,,﻿Victoria County,﻿Victoria County,﻿Arenoso,﻿Inez,﻿TX,,28.9015593,-96.7893988,﻿gal.tx.0149,﻿attended from Victoria,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0007,﻿church,not recorded,English,,﻿Arroyo Colorado,,﻿Cameron County,,"﻿Arroyo, Colorado",,﻿TX,,26.1934187,-97.5809104,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0008,﻿church,not recorded,English,,,,﻿Atascosa County,﻿Atascosa County,,,﻿TX,,28.8661281,-98.5721016,﻿gal.tx.0019,"﻿attended from Medina, Bexar Co.",,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0009,﻿church,not recorded,English,,,,﻿Travis County,﻿Travis County,﻿Austin City,﻿Austin,﻿TX,,30.267153,-97.7430608,,,,﻿nic_feltin_001,﻿Rev.,﻿Nicholas Feltin,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0009,﻿church,not recorded,English,,,,﻿Travis County,﻿Travis County,﻿Austin City,﻿Austin,﻿TX,,30.267153,-97.7430608,,,,﻿mar_weinzaepflen_001,﻿Rev.,﻿Martin Weinzaepfeln,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0010,﻿church,not recorded,English,,,,﻿Bandera County,﻿Bandera County,﻿Bandera,﻿Bandera,﻿TX,,29.7404135,-99.2785583,,,,﻿cle_kucharezyk_001,﻿Rev.,﻿Clement Kucharezyk,﻿C.R.D.N.,,,,,﻿Priests of the Order of the Resurrection at the station,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0011,﻿church,not recorded,English,,,,﻿Cameron County,,﻿Barranco,,﻿TX,,26.03876169,-97.66325812,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0012,﻿church,not recorded,English,,,,﻿Cameron County,,﻿Boston,,﻿TX,,33.4598415,-94.4154787,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0013,﻿church,not recorded,English,,,,﻿Bastrop County,﻿Bastrop County,﻿Bastrop,﻿Bastrop,﻿TX,,30.1104947,-97.3152701,﻿gal.tx.0009,﻿attended from Austin,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0014,﻿church,not recorded,English,,,,﻿Liberty County,﻿Hardin County,﻿Batson Prairie,﻿Batson,﻿TX,,30.2493767,-94.6071417,﻿gal.tx.0080,﻿attended from Liberty,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0015,﻿church,not recorded,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Beaumont,﻿Beaumont,﻿TX,,30.080174,-94.1265562,,,,﻿fra_mosy_001,,﻿Francis Mosy,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0016,﻿church,not recorded,English,,,,﻿Austin County,﻿Austin County,﻿Belville,﻿Bellville,﻿TX,,29.9502253,-96.2571858,﻿gal.tx.0054,﻿attended from Frelsburgh,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0017,﻿church,not recorded,English,,,,﻿Colorado County,﻿Colorado County,"﻿Bernard, or New-Mentz",﻿Mentz,﻿TX,,29.7485196,-96.4392213,﻿gal.tx.0054,﻿attended from Frelsburgh,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0018,﻿church,not recorded,English,,,,﻿Hidalgo County,﻿Hidalgo County,﻿Blanca,﻿La Blanca,﻿TX,,26.2928491,-98.0377826,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0019,﻿church,not recorded,English,,,,﻿Bexar County,﻿Bexar County,"﻿Blasherrera, or Medina",﻿San Antonio,﻿TX,,29.28159391,-98.61445576,,,,﻿and_farge_001,﻿Rev.,﻿Andrew Farge,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0019,﻿church,not recorded,English,,,,﻿Bexar County,﻿Bexar County,"﻿Blasherrera, or Medina",﻿San Antonio,﻿TX,,29.28159391,-98.61445576,,,,﻿pro_goddard_001,﻿Rev.,﻿Prosper Godard,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0020,﻿church,not recorded,English,,,,﻿Nueces County,,﻿Boreda,,﻿TX,,27.34869828,-97.63871603,﻿gal.tx.0041,﻿attended from Corpus Christi,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0021,﻿church,not recorded,English,,,,﻿Brazoria County,﻿Brazoria County,﻿Brazoria,﻿Brazoria,﻿TX,,29.2131857,-95.4777811,,,,﻿ja_favre_001,﻿Very Rev.,﻿A. Faure,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
﻿gal.tx.0022,﻿church,not recorded,English,,,,﻿Washington County,﻿Washington County,﻿Brenham,﻿Brenham,﻿TX,,30.1668828,-96.3977442,﻿gal.tx.0061,﻿attended from Hidalgo Prairie,,,,,,,,,,,,1868.0,﻿,﻿,﻿Galveston,Galveston
