instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,,﻿Marysville,,﻿CA,﻿CA,﻿#REF!,﻿#REF!,,,,,﻿Rt. Rev.,﻿Eugene O'Connell,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,,﻿Marysville,,﻿CA,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿Edward Kelly,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,,﻿Marysville,,﻿CA,,﻿#REF!,﻿#REF!,,,,,﻿Rev.,﻿Andrew Andolsheck,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0002,﻿church,not recorded,English,,,,﻿Mendocino County,﻿Mendocino County,﻿Albion,﻿Albion,﻿CA,﻿CA,﻿#REF!,﻿#REF!,﻿gra.ca.0048,﻿attended from Mendocino City,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany,﻿CA,﻿CA,﻿#REF!,﻿#REF!,﻿gra.ca.0021,﻿church attended from Downieville,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0004,﻿church,not recorded,English,,,﻿Anderson Valley,﻿Mendocino County,﻿Mendocino County,,,﻿CA,﻿CA,﻿#REF!,﻿#REF!,﻿gra.ca.0048,﻿attended from Mendocino City,﻿once in three months,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0005,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Big Flat,﻿Big Flat,﻿CA,﻿CA,﻿40.74080463,﻿-123.2074406,﻿gra.ca.0076,﻿visited from Weaverville,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0006,﻿church,not recorded,English,,,,﻿Nevada County,﻿Nevada County,﻿Birchville,﻿Birchville,﻿CA,﻿CA,﻿#REF!,﻿#REF!,﻿gra.ca.0035,﻿attended from Grass Valley,﻿every second month,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0007,﻿church,﻿St. Mary's,English,,,,﻿Yuba County,﻿Yuba County,﻿Brown's Valley,﻿Browns Valley,﻿CA,﻿CA,﻿#REF!,﻿#REF!,﻿gra.ca.0001,﻿attended from Marysville,﻿twice a month,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0008,﻿church,not recorded,English,,﻿Butte House,,﻿Yuba County,﻿Sutter County,,,﻿CA,﻿CA,﻿39.168056,﻿-121.741,﻿gra.ca.0001,﻿visited from Marysville,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
﻿gra.ca.0009,﻿church,﻿SS. John and Paul's,English,,,,﻿Siskiyou County,﻿Siskiyou County,﻿Callaghan's Ranch,﻿Callahan,﻿CA,﻿CA,﻿#REF!,﻿#REF!,﻿gra.ca.0079,﻿attended from Yreka,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Grass Valley,GrassValley
