instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at half-past six, eight, and ten A.M. in summer, and at seven, half-past eight, and half-past ten A.M. in the winter; sermons at eight and ten A.M. Masses; Vespers at half-past three P.M. in summer, and three P.M. in winter",,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,﻿b_j_spalding_001,﻿Very Rev.,﻿B. J. Spalding,﻿D.D.,﻿Vic. Gen and Rector,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at half-past six, eight, and ten A.M. in summer, and at seven, half-past eight, and half-past ten A.M. in the winter; sermons at eight and ten A.M. Masses; Vespers at half-past three P.M. in summer, and three P.M. in winter",,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,﻿m_bouchet_001,﻿Rev.,﻿Michael Bouchet,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at half-past six, eight, and ten A.M. in summer, and at seven, half-past eight, and half-past ten A.M. in the winter; sermons at eight and ten A.M. Masses; Vespers at half-past three P.M. in summer, and three P.M. in winter",,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,﻿h_brady_001,﻿Rev.,﻿H. Brady,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0001,﻿cathedral,﻿Cathedral of the Assumption,English,"﻿There are three regular Masses on Sundays and Holydays at half-past six, eight, and ten A.M. in summer, and at seven, half-past eight, and half-past ten A.M. in the winter; sermons at eight and ten A.M. Masses; Vespers at half-past three P.M. in summer, and three P.M. in winter",,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,,﻿Rev.,﻿D. Russell,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0002,﻿church,﻿St. Boniface,﻿German,﻿residence adjoining. High Mass at ten A.M. and half-past ten A.M.; Vespers at two and half-past two P.M.,﻿Green street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25117395,-85.74396093,,,,,﻿Rev.,﻿Dionysius Abarth,﻿O.S.F.,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0002,﻿church,﻿St. Boniface,﻿German,﻿residence adjoining. High Mass at ten A.M. and half-past ten A.M.; Vespers at two and half-past two P.M.,﻿Green street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25117395,-85.74396093,,,,,﻿Rev.,﻿Father Venantius,﻿O.S.F.,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0003,﻿church,﻿Immaculate Conception,﻿German,﻿residence adjoining. High Mass at ten and half-past ten A.M.; Vespers at half-past two and three P.M.,﻿corner of Eighth and Grayson streets,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2931614,-85.6398784,,,,﻿f_x_van-deutekom_001,﻿Rev.,﻿F. X. Van Deutekom,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0003,﻿church,﻿Immaculate Conception,﻿German,﻿residence adjoining. High Mass at ten and half-past ten A.M.; Vespers at half-past two and three P.M.,﻿corner of Eighth and Grayson streets,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2931614,-85.6398784,,,,﻿_ _005,﻿Rev.,﻿Engelbert Bachmann,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0004,﻿church,﻿St. Martin's,﻿German,﻿residence adjoining. High Mass at ten and half-past ten A.M.; Vespers at three and half-past three P.M.,﻿Shelby street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2455346,-85.73924891,,,,﻿lea_streber_001,﻿Rev.,﻿Leander Streber,﻿O.S.F.,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0004,﻿church,﻿St. Martin's,﻿German,﻿residence adjoining. High Mass at ten and half-past ten A.M.; Vespers at three and half-past three P.M.,﻿Shelby street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2455346,-85.73924891,,,,﻿mar_beyhurst_001,﻿Rev.,﻿Martin Beyhurst,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0005,﻿church,﻿St. Patrick's Chapel,English,﻿residence adjoining. High Mass at nine and half-past nine A.M.; Vespers at three P.M.,﻿Thirteenth street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25719726,-85.77203595,,,,﻿tho_joyce_002,﻿Rev.,﻿Thomas Joyce,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0005,﻿church,﻿St. Patrick's Chapel,English,﻿residence adjoining. High Mass at nine and half-past nine A.M.; Vespers at three P.M.,﻿Thirteenth street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25719726,-85.77203595,,,,﻿wm_wiseman_001,﻿Rev.,﻿Wm. Wiseman,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0006,﻿church,﻿St. Peter's Church,﻿German,﻿High Mass at nine and half-past nine A.M.; Vespers at three P.M.,"﻿Sixteenth street, beyond Kentucky",,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2396268,-85.7805116,,﻿attended by the Franciscan Fathers Conventual,,,,,,,,,,﻿Franciscan Fathers Conventual,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0007,﻿church,﻿St. John's Church,English,﻿High Mass at ten and half-past ten A.M.; Vespers at three and half-past three P.M.,﻿Walnut and Clay streets,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.24917871,-85.74059964,,,,﻿l_bax_001,﻿Rev.,﻿L. Bax,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0007,﻿church,﻿St. John's Church,English,﻿High Mass at ten and half-past ten A.M.; Vespers at three and half-past three P.M.,﻿Walnut and Clay streets,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.24917871,-85.74059964,,,,﻿alp_coenen_001,﻿Rev.,﻿Alphonsus Coenen,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0011,﻿chapel,﻿Chapel of the Seven Sorrows,English,﻿attached to the Convent of the Good Shepherd,"﻿Eighth street, attached to the Convent of the Good Shepherd",,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2526647,-85.7584557,,,,﻿h_brady_001,﻿Rev.,﻿H. Brady,,,"﻿Mass said daily by Rev. H. Brady, of the Cathedral",,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0012,﻿chapel,﻿Chapel of St. Aloysius,English,,﻿Fourth street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.251986,-85.7573299,﻿lou.ky.0001,﻿Mass said occasionally by one of the clergy from the Cathedral,﻿occasionally,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0013,﻿chapel,﻿Chapel of the Immaculate Conception,English,,﻿St. Vincent's Orphan Asylum,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2526647,-85.7584557,,,,﻿wal_s_coomes_001,﻿Rev.,﻿W. S. Coomes,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0014,﻿church,﻿Notre Dame du Port (Portland),English,,﻿Portland,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.27624468,-85.805653,,,,﻿hug_peythieu_001,﻿Rev.,﻿Hugo Peythieu,,,﻿who resides at the church and is Chaplain of Cedar Grove Academy,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0020,﻿church,﻿St. Joseph's,English,,,,﻿Nelson,,﻿Bardstown,,﻿KY,,37.8104924,-85.4714237,,,,,﻿Rev.,﻿John S. Verdin,﻿S.J.,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0020,﻿church,﻿St. Joseph's,English,,,,﻿Nelson,,﻿Bardstown,,﻿KY,,37.8104924,-85.4714237,,,,﻿cha_truyens_001,﻿Rev.,﻿Charles Truyens,﻿S.J.,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0020,﻿church,﻿St. Joseph's,English,,,,﻿Nelson,,﻿Bardstown,,﻿KY,,37.8104924,-85.4714237,,,,﻿the_de-leeuw_001,﻿Rev.,﻿The. De Leeuw,﻿S.J.,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0021,﻿chapel,not recorded,English,﻿new chapel building,,,,,﻿Bacon Creek,,﻿KY,,37.3786665,-85.9030233,﻿lou.ky.0027,﻿Attended from Bowling Green,,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0022,﻿church,﻿St. Augustine's,English,,,,﻿Grayson,,﻿Bear Creek,,﻿KY,,37.45036268,-86.23246168,,,,﻿j_b_vandemergel_001,﻿Rev.,﻿J. B. Vandemergel,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0023,﻿church,not recorded,English,,,,﻿Trimble,,﻿Bedford,,﻿KY,,38.592563,-85.3177344,,"﻿attended from Madison, Indiana",,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0024,﻿church,not recorded,English,,,,﻿Crittenden,,﻿Bell's Coal Mines,,﻿KY,,37.50975787,-88.0221687,﻿lou.ky.0072,"﻿Attended from the Sacred Heart, Union Co.",,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0025,﻿church,not recorded,English,,,,﻿Bullitt,,﻿Belmont Furnace,,﻿KY,,37.89272591,-85.69894914,,﻿Attended from New Haven,﻿occasionally,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0026,﻿church,﻿Immaculate Conception,English,,,,﻿Hardin,,﻿Bethlehem Convent,,﻿KY,,37.70141476,-85.99547652,,,,﻿aug_degauquier_001,﻿Rev.,﻿A. Degauquier,,﻿Chaplain and Director,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0027,﻿church,﻿St. Joseph's,English,,,,﻿Warren,,﻿Bowling Green,,﻿KY,,37.0018551,-86.4471498,,,,﻿jos_de-vries_001,﻿Rev.,﻿Jos. De Vries,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0027,﻿church,﻿St. Joseph's,English,,,,﻿Warren,,﻿Bowling Green,,﻿KY,,37.0018551,-86.4471498,,,,﻿p_j_lacoste_001,﻿Rev.,﻿P. J. Lacoste,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0028,﻿church,﻿St. Andrew's,English,,,,﻿Jefferson,,﻿Big Run,,﻿KY,,38.1445258,-85.81439878,﻿lou.ky.0004,"﻿Attended from St. Martin's, in the city",,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0029,﻿church,not recorded,English,,,,﻿Mead,,﻿Brandenburgh,,﻿KY,,38.0010277,-86.1721474,﻿lou.ky.0039,﻿Attended from Flint Island,,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0030,﻿church,not recorded,English,﻿new church,,,﻿Marion,,﻿Chicago,,﻿KY,,37.62635952,-85.43056317,,,﻿once a week,﻿fra_wuyts_001,﻿Rev.,﻿F. Wuyts,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0031,﻿church,﻿St. Clare's,English,,,,﻿Hardin,,﻿Clear Creek,,﻿KY,,37.78426442,-85.7745226,,,,﻿pol_fermont_001,﻿Rev.,﻿Polydore Fermont,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0032,﻿church,﻿St. Paul's,English,,,,﻿Grayson,,﻿Clifty,,﻿KY,,37.5653892,-86.217192,,,,﻿j_b_vandemergel_001,﻿Rev.,﻿J. B. Vandemergel,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0033,﻿church,not recorded,English,﻿new brick church,,,﻿Breckenridge,,﻿Cloverport,,﻿KY,,37.8355441,-86.6361064,﻿lou.ky.0042,﻿Attended from Hardinsburgh by Rev. J. A. Barrett,﻿once a month,﻿j_a_barrett_001,﻿Rev.,﻿J. A. Barrett,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0035,﻿church,not recorded,English,,,,﻿Crittenden,,﻿Dycusburgh,,﻿KY,,37.1594981,-88.1844718,,,,﻿eli_j_durbin_001,﻿Rev.,﻿E. J. Durbin,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0036,﻿church,﻿St. James',English,,,,﻿Hardin,,﻿Elizabethtown,,﻿KY,,37.706119,-85.857805,,,,﻿aug_degauquier_001,﻿Rev.,﻿A. Degauquier,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0037,﻿church,not recorded,English,,,,﻿Henry,,﻿Eminence,,﻿KY,,38.3700683,-85.1805105,﻿lou.ky.0097,﻿Attended from Shelbyville,,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0038,﻿church,﻿St. Michael's,English,,,,﻿Nelson,,﻿Fairfield,,﻿KY,,37.9318642,-85.3828839,,,,﻿jam_elliott_001,﻿Rev.,﻿Jas. Elliott,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0039,﻿church,﻿St. Teresa's,English,,,,﻿Mead,,﻿Flint Island,,﻿KY,,38.03030441,-86.43884232,,,,﻿pat_mcnicholas_001,﻿Rev.,﻿Patrick McNicholas,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0040,﻿church,not recorded,English,,,,﻿Simpson,,﻿Franklin,,﻿KY,,36.7187855,-86.5785573,﻿lou.ky.0027,﻿Attended from Bowling Green,,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0041,﻿church,not recorded,English,﻿residence of the Trappists; Mass every Sunday,,,﻿Nelson,,﻿Gethesmane,,﻿KY,,37.64559596,-85.54547151,,,,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0042,﻿church,﻿St. Romuald's,English,,,,﻿Breckenridge,,﻿Hardinsburgh,,﻿KY,,37.7866832,-86.4617563,,,,﻿joh_a_barrett_001,﻿Rev.,﻿John A. Barrett,,,﻿who resides here,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0043,﻿church,﻿St. Peter's,English,﻿new church,,,,,﻿Harrodsburgh,,﻿KY,,37.7626817,-84.8454155,﻿lou.ky.0089,﻿Attended monthly by the Dominican Fathers from St. Rose,﻿monthly,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0044,﻿church,not recorded,English,﻿new church of stone,,,﻿Hancock,,﻿Hawesville,,﻿KY,,37.9000554,-86.754988,,,,﻿mar_flynn_001,﻿Rev.,﻿Martin Flynn,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0045,﻿church,not recorded,English,﻿a new brick church,,,﻿Henderson,,﻿Henderson,,﻿KY,,37.8259983,-87.5683263,﻿lou.ky.0072,﻿Attended once a month from Sacred Heart,﻿monthly,,,,,﻿resident pastor,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0046,﻿church,not recorded,English,,,,﻿Fulton,,﻿Hickman,,﻿KY,,36.5711721,-89.1861791,﻿lou.ky.0080,﻿Attended from Fancy Farm,,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0047,﻿church,﻿Our Lady of Mercy,English,,,,﻿La Rue,,﻿Hodgensville,,﻿KY,,37.5720226,-85.7415023,,"﻿Attended by F. De Beulder, from New Haven",﻿monthly,﻿f_de-meulder_001,﻿Rev.,﻿F. De Meulder,,﻿resident pastor,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0048,﻿church,﻿Holy Cross,English,,,,﻿Marion,,﻿Holy Cross,,﻿KY,,37.673951,-85.4469061,,,,﻿fra_wuyts_001,﻿Rev.,﻿Francis Wuyts,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0049,﻿church,﻿Holy Mary,English,,,,﻿Marion,,﻿Holy Mary's,,﻿KY,,37.51670909,-85.2681911,,,,﻿a_a_aud_001,﻿Rev.,﻿A. A. Aud,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0051,﻿station,not recorded,English,,,,﻿Caldwell,,﻿Kelly's Furnace,,﻿KY,,37.0512708,-88.16943695,,﻿Attended by Rev. E.J. Durbin,,﻿eli_j_durbin_001,﻿Rev.,﻿E. J. Durbin,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0052,﻿church,﻿St. Augustine's,English,,,,﻿Marion,,﻿Lebanon,,﻿KY,,37.5681216,-85.2513384,,,,﻿ivo_schacht_001,﻿Rev.,﻿Ivo Schacht,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0053,﻿church,﻿St. Columba's,English,,,,﻿Hancock,,﻿Lewis' Bottom,,﻿KY,,37.9343142,-86.9075805,﻿lou.ky.0044,﻿Attended from Hawesville,﻿once a month,,,,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0054,﻿church,﻿St. Anthony's,English,,,,﻿Breckenridge,,﻿Long Lick,,﻿KY,,37.63450061,-86.46202699,,,﻿once a month,﻿pat_cassidy_001,﻿Rev.,﻿Patrick Cassidy,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
﻿lou.ky.0055,﻿church,﻿Seven Sorrows,English,,,,﻿Marion,,﻿Loretto Convent,,﻿KY,,37.6657024,-85.397317,,,,﻿fra_wuyts_001,﻿Rev.,﻿Francis Wuyts,,,,,,,,1865,﻿,﻿,﻿Louisville,Louisville
