instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mob.al.0001,﻿cathedral,not recorded,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.6901203,-88.0458984,,,,﻿mic_portier_901,﻿Right Rev.,﻿Michael Portier,﻿D.D.,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,not recorded,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.6901203,-88.0458984,,,,﻿m_loras_901,﻿Very Rev.,﻿M. Loras,﻿D.D.,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,not recorded,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.6901203,-88.0458984,,,,﻿jam_lesne_901,﻿Rev.,﻿James Lesne,,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9001,﻿church,﻿St. Joseph's,English,,,,,,﻿Springhill,﻿Mobile,﻿AL,﻿AL,30.6901203,-88.0458984,,,,,,,,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0022,﻿church,﻿St. Peter's,English,,,,,﻿Montgomery County,﻿Montgomery,﻿Montgomery,﻿AL,﻿AL,32.3754699,-86.3058448,,,,﻿gab_chalon_001,﻿Rev.,﻿G. Chalon,,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9002,﻿church,not recorded,English,,,,,,﻿Moulton,﻿Moulton,﻿AL,﻿AL,32.3754699,-86.3058448,,,,﻿p_mauvernay_901,﻿Rev.,﻿P. Mauvernay,,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9003,﻿church,not recorded,English,,,,,,﻿Mount Vernon,﻿Mount Vernon,﻿AL,﻿AL,31.08636548,-88.00993023,,﻿visited by Rev. B. M. Loras,,﻿m_loras_901,﻿Rev.,﻿B. M. Loras,,,,,,,,1834,"﻿https://en.wikipedia.org/wiki/Mount_Vernon,_Alabama",﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9004,﻿church,not recorded,English,,,,,,﻿Bayou Battery,﻿Bayou La Batre,﻿AL,﻿AL,30.40428461,-88.24811635,,﻿visited by Rev. B. M. Loras,,﻿m_loras_901,﻿Rev.,﻿B. M. Loras,,,,,,,,1834,"﻿https://en.wikipedia.org/wiki/Bayou_La_Batre,_Alabama",﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9005,﻿academy,not recorded,English,,,,,,﻿Summerville,﻿Somerville,﻿AL,﻿AL,34.47,-86.798889,,,,﻿jam_lesne_901,﻿Rev.,﻿James Lesne,,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0001,﻿academy,not recorded,English,﻿East Florida,,,,﻿St. Johns County,﻿St. Augustine,﻿St. Augustine,﻿FL,﻿FL,29.8931024,-81.31244863,,,,﻿ed_mayne_901,﻿Very Rev.,﻿Ed. Mayne,,,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.9000,﻿academy,not recorded,English,﻿A new Church,,,,﻿Escambia County,﻿Pensacola,﻿Pensacola,﻿FL,﻿FL,30.41378766,-87.21627056,,,,﻿joh_s_guinand_901,﻿Rev.,﻿S. Guinand,,,,,,,,1834,﻿https://stmichaelbasilica.com/our-history,﻿,﻿,﻿Mobile,Mobile
﻿sta.fl.0006,﻿academy,not recorded,English,,,,,﻿Nassau County,﻿Fernandina,﻿Fernandina Beach,﻿FL,﻿FL,30.67379678,-81.46152823,,,,﻿ed_mayne_901,﻿Rev.,﻿Ed. Mayne,,,,,,,,1834,﻿https://www.ameliaisland.com/places-of-worship/,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69404201,-88.13786472,,,,﻿mic_portier_901,﻿Right Rev. Dr.,﻿Portier,,﻿Bishop of Mobile,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69404201,-88.13786472,,,,﻿joh_bazin_901,﻿Rev.,﻿John Bazin,,﻿President,,,,,,1834,,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0037&0037_02,﻿convent and academy,not recorded,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69365164,-88.0931224,,,,,,,,,,,,,,1834,﻿https://en.wikipedia.org/wiki/Convent_and_Academy_of_the_Visitation,﻿,﻿,﻿Mobile,Mobile
