instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,﻿tha_amat_002,﻿Rt. Rev.,﻿Thaddeus Amat,"﻿C.M., D.D.",,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,﻿fra_mora_002,﻿Very Rev.,﻿Francis Mora,,"﻿Vicar-General, Rector",,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,﻿mic_duran_002,﻿Rev.,﻿Michael Duran,,﻿Assistant Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,﻿hug_curran_002,﻿Rev.,﻿Hugh Curran,,﻿Assistant Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,﻿joh_garibaldi_001,﻿Rev.,﻿John Garibaldi,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.2449948,,,,﻿jos_tanyá_002,﻿Rev.,﻿Joseph Tanyá,,﻿Deacon,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0002,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San Gabriel,﻿San Gabriel,﻿CA,,34.0961111,-118.1058333,,,,﻿joh_basso_002,﻿Rev.,﻿John Basso,,﻿Rector,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0003,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San Fernando,﻿San Fernando,﻿CA,,34.2819461,-118.4389719,﻿mon.ca.0001,﻿Attended from Los Angeles,﻿Monthly,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0004,﻿church,﻿St. Peter's,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Wilmington,﻿Los Angeles,﻿CA,,33.7371045,-118.3135787,﻿mon.ca.0001,﻿Attended from Los Angeles,﻿Weekly,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0007,﻿chapel,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San José,﻿Pomona,﻿CA,,34.055103,-117.7499909,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0061,﻿chapel,not recorded,English,,,,﻿Los Angeles County,,﻿San Nicolas,,﻿CA,,33.7787317,-118.3958313,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0008,﻿church,﻿San Antonia de Padua,English,,,,﻿Los Angeles County,﻿Orange County,﻿Santa Ana,﻿Santa Ana,﻿CA,,33.7454725,-117.867653,,,,﻿jam_burgata_001,﻿Rev.,﻿James A. Burgatta,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0009,﻿station,not recorded,English,,,,﻿Los Angeles County,﻿Orange County,﻿Anaheim,﻿Anaheim,﻿CA,,33.8365932,-117.9143012,﻿mon.ca.0008,﻿Attended from Santa Ana,﻿Monthly,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0010,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Orange County,﻿San Juan Capistrano,﻿San Juan Capistrano,﻿CA,,33.5019027,-117.6627655,,,,﻿jos_mut_002,﻿Rev.,﻿Joseph Mut,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0011,﻿church,not recorded,English,,,,﻿San Diego County,﻿San Diego County,﻿San Luis Rey,﻿Oceanside,﻿CA,,33.1958696,-117.3794834,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0012,﻿church,﻿San Antonio de Padua,English,,﻿Indian Settlement,,﻿San Diego County,﻿San Diego County,﻿Pala,﻿Pala,﻿CA,,33.3652166,-117.0764739,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0013,﻿church,﻿San Pascual Baylon,English,,﻿Indian Settlement,,﻿San Diego County,﻿San Diego County,﻿San Pascual,﻿San Diego,﻿CA,,33.0917085,-116.9539177,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0014,﻿church,﻿Church of the Immaculate Conception,English,,,,﻿San Diego County,﻿San Diego County,﻿San Diego,﻿San Diego,﻿CA,,32.715738,-117.1610838,,,,﻿ant_ubach_002,﻿Rev.,﻿Anthony Ubach,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0015,﻿church,﻿San Salvador,English,,,,﻿San Bernardino County,﻿Riverside County,﻿Turupa,﻿Jurupa Valley,﻿CA,,33.9942737,-117.4971606,,,,﻿pet_verdaguer_002,﻿Rev.,﻿Peter Verdaguer,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0017,﻿church,﻿San Bernardino of Sienna,English,,,,﻿San Bernardino County,﻿San Bernardino County,﻿San Berardino,﻿San Berardino,﻿CA,,34.1431388,-117.2490615,,,,﻿mic_mahony_002,﻿Rev.,﻿Michael Mahony,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0019,﻿church,﻿Patronage of St. Joseph,English,,,,﻿Kern County,﻿Kern County,﻿Havilah City,﻿Havilah,﻿CA,,35.5177324,-118.5186972,,,,﻿dan_dade_002,﻿Rev.,﻿Daniel Dade,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0020,﻿chapel,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Tulare County,﻿Tulare County,﻿Visalia,﻿Visalia,﻿CA,,36.3301329,-119.2966367,﻿mon.ca.0019,﻿Attended from Avilah City,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0021,﻿station,not recorded,English,,,,﻿Tulare County,﻿Tulare County,﻿King's River,﻿Dinuba,﻿CA,,36.5432837,-119.3870656,﻿mon.ca.0019,﻿Attended from Avilah City,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0022,﻿station,not recorded,English,,,,﻿Fresno County,﻿Fresno County,﻿Millerton,﻿Millerton,﻿CA,,36.9809172,-119.6606887,﻿mon.ca.0019,﻿Attended from Avilah City,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0023,﻿station,not recorded,English,,,,﻿Los Angeles County,﻿Kern County,﻿Fort Trejon,﻿Lebec,﻿CA,,34.3871821,-118.1122679,﻿mon.ca.0019,﻿Attended from Avilah City,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0024,﻿church,﻿Na. Sa. de los Dolores,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Santa Barbara,﻿Santa Barbara,﻿CA,,34.4208305,-119.6981901,,,,﻿jam_vila_002,﻿Rev.,﻿James Vila,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0025,﻿church,﻿St. Francis Xavier's,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Cieneguita,﻿Santa Barbara,﻿CA,,34.4208305,-119.6981901,﻿mon.ca.0024,﻿Attended from Santa Barbara,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0026,﻿church,﻿Our Lady of Mount Carmel,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Montecito,﻿Montecito,﻿CA,,34.436373,-119.641228,﻿mon.ca.0024,﻿Attended from Santa Barbara,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0027,﻿convent,﻿Convent of the Rev. Franciscan Fathers,English,,﻿Mission of Santa Barbara,,,﻿Santa Barbara County,﻿Santa Barbara,﻿Santa Barbara,﻿CA,,34.4383262,-119.7140678,,,,﻿jos_m_gonzalez_002,﻿Very Rev.,﻿José Maria de Jesus Gonzalez,,﻿Superior,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0028,﻿church,not recorded,English,,,,﻿Santa Barbara County,﻿Ventura County,﻿San Buenaventura,﻿Ventura,﻿CA,,34.2808409,-119.2931259,,,,﻿joh_comapla_002,﻿Rev.,﻿John Comapla,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0029,﻿station,not recorded,English,,,,﻿Santa Barbara County,﻿Ventura County,﻿Camulos,﻿Piru,﻿CA,,34.4152743,-118.7939824,﻿mon.ca.0028,﻿Attended from San Buenaventura,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0030,﻿church,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Santa Ynés,﻿Santa Ynez,﻿CA,,34.6144313,-120.079868,,,,﻿joa_bot_002,﻿Rev.,﻿Joachim Bot,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0031,﻿church,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿La Purissima,﻿Lompoc,﻿CA,,34.6391501,-120.4579409,﻿mon.ca.0030,﻿Attended from Santa Ynés,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0032,﻿station,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿El Refugio,﻿Capitan,﻿CA,,34.4633246,-120.0431979,﻿mon.ca.0030,﻿Attended from Santa Ynés,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0033,﻿station,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Santa Maria,﻿Santa Maria,﻿CA,,34.9530337,-120.4357191,﻿mon.ca.0030,﻿Attended from Santa Ynés,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0034,﻿church,not recorded,English,,,,﻿San Luis Obispo County,﻿San Luis Obispo County,﻿San Luis Obispo,﻿San Luis Obispo,﻿CA,,35.2827524,-120.6596156,,,,﻿pet_sastre_002,﻿Rev.,﻿Peter Sastre,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0036,﻿church,not recorded,English,,,,﻿San Luis Obispo County,﻿San Luis Obispo County,﻿San Miguel,﻿San Miguel,﻿CA,,35.7524679,-120.6962826,﻿mon.ca.0034,﻿Attended from San Luis Obispo,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0037,﻿church,﻿St. Charles Borromeo's,English,,,,﻿Monterey County,﻿Monterey County,﻿Monterey,﻿Monterey,﻿CA,,36.6002378,-121.8946761,,,,﻿mic_racca_001,﻿Rev.,﻿Michael Racca,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0038,﻿church,not recorded,English,,,,﻿Monterey County,﻿Monterey County,﻿Carmelo Mission,﻿Carmel-By-The-Sea,﻿CA,,36.5552386,-121.9232879,﻿mon.ca.0037,﻿Attended from Monterey,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0039,﻿church,not recorded,English,,,,﻿Monterey County,﻿Monterey County,﻿San Antonio,﻿Bradley,﻿CA,,35.8632993,-120.8007321,,,,﻿dor_ambris_002,﻿Rev.,﻿Doroteo Ambris,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0040,﻿church,not recorded,English,,,,﻿Monterey County,﻿Monterey County,﻿La Soledad,﻿Soledad,﻿CA,,36.424687,-121.3263187,﻿mon.ca.0039,﻿Attended from San Antonio,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0041,﻿church,not recorded,English,,,,﻿Monterey County,﻿San Benito County,﻿San Juan Bautista,﻿San Juan Bautista,﻿CA,,36.8455108,-121.5379974,,,,﻿c_rubio_002,﻿Rev.,﻿C. Rubio,,﻿Pastor,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0042,﻿station,not recorded,English,,﻿New Ydria Mines,,,﻿San Benito County,﻿Panocha,﻿Panoche,﻿CA,,36.4144008,-120.6746157,﻿mon.ca.0041,﻿Attended from San Juan Bautista,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
﻿mon.ca.0043,﻿chapel,not recorded,English,﻿chapel in course of erection,,,﻿Monterey County,﻿Monterey County,﻿Castroville,﻿Castroville,﻿CA,,36.7619511,-121.7517702,﻿mon.ca.0049,﻿Attended from Watsonville,,,,,,,,,,,,1867.0,﻿,﻿,﻿Monterey and Los Angeles,Monterey
