instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nash.tn.0001,﻿cathedral,not recorded,English,,﻿Cathedral,,,,﻿Nashville,﻿Nashville,﻿TN,,36.1596597,-86.783051,,,,,﻿Right Rev.,﻿P. A. Feehan,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0001,﻿cathedral,not recorded,English,,﻿Cathedral,,,,﻿Nashville,﻿Nashville,﻿TN,,36.1596597,-86.783051,,,,,﻿Rev.,﻿M. Duggan,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0001,﻿cathedral,not recorded,English,,﻿Cathedral,,,,﻿Nashville,﻿Nashville,﻿TN,,36.1596597,-86.783051,,,,,﻿Rev.,﻿P. F. Coyle,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0003,﻿church,﻿Church of the Assumption,﻿German,,,,,,,﻿Nashville,﻿TN,,36.175432,-86.7915037,,,,,﻿Rev.,﻿W. J. Revis,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0002,﻿church,﻿St. John's,English,,﻿Edgefield,,,,,﻿Nashville,﻿TN,,36.1784432,-86.6791636,﻿nash.tn.0001,﻿attended from the cathedral,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0039,﻿academy,﻿St. Cecilia's Academy,English,,,,,,﻿Nashville,﻿Nashville,﻿TN,,36.1318756,-86.8412955,,,,﻿j_t_jarboe_001,﻿Rev.,﻿J. F. Jarboe,﻿O.S.D,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0004,﻿church,﻿St. Peter's,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.071573,-90.00337,,,,,﻿Rev.,﻿T. L. Power,﻿O.P.,﻿Pastor,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0004,﻿church,﻿St. Peter's,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.071573,-90.00337,,,,,﻿Rev.,﻿M. D. Lilly,﻿O.P.,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0004,﻿church,﻿St. Peter's,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.071573,-90.00337,,,,,﻿Rev.,﻿J. V. Edelen,﻿O.P.,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0004,﻿church,﻿St. Peter's,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.071573,-90.00337,,,,,﻿Rev.,﻿J. A. Rochford,﻿O.P.,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0006,﻿church,﻿St. Mary's,﻿German,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.151352,-90.0477468,,,,,﻿Rev.,﻿F. Schneider,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0005,﻿church,﻿St. Patrick's,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.1370078,-90.0500392,,,,﻿m_riordan_001,﻿Rev.,﻿M. Riordan,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0005,﻿church,﻿St. Patrick's,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.1370078,-90.0500392,,,,,﻿Rev.,﻿M. Walsh,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0007,﻿church,﻿St. Mary's,English,,,,﻿Montgomery County,,﻿Clarksville,﻿Clarksville,﻿TN,,36.5297706,-87.3594528,,,,,﻿Rev.,﻿C. Thoma,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0008,﻿church,﻿St. Michael's,English,,,,﻿Robertson County,,,,﻿TN,,36.5250666,-86.8621827,﻿nash.tn.0007,﻿Attended from Clarksville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0009,﻿church,not recorded,English,,,,﻿Robertson County,,﻿Springfield,,﻿TN,,,,﻿nash.tn.0007,﻿Attended from Clarksville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0010,﻿church,﻿St. Patrick's,English,,﻿State Line,,,,,,﻿TN,,,,﻿nash.tn.0007,﻿Attended from Clarksville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0012,﻿church,not recorded,English,,,,﻿Sumner County,,﻿Gallatin,,﻿TN,,,,﻿nash.tn.0007,﻿Attended from Clarksville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0050,﻿church,not recorded,English,,,,,,﻿Edgefield Junction,,﻿TN,,,,﻿nash.tn.0007,﻿Attended from Clarksville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0011,﻿church,not recorded,English,,,,﻿Henry County,,﻿Paris,﻿Paris,﻿TN,,36.301111,-88.313889,﻿nash.tn.0007,﻿Attended from Clarksville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0026,﻿church,﻿Immaculate Conception,English,,,,﻿Knox County,﻿Knox County,﻿Knoxville,﻿Knoxville,﻿TN,,35.9606384,-83.9207392,,,,,﻿Rev.,﻿James S. Keane,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0027,﻿church,not recorded,English,,,,﻿Knox County,﻿Knox County,﻿McMillen's,﻿McMillan,﻿TN,,36.0436954,-83.7912918,﻿nash.tn.0026,﻿Attended from Knoxville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0028,﻿church,not recorded,English,,,,﻿Jefferson County,﻿Hamblen County,﻿Morristown,﻿Morristown,﻿TN,,36.2139814,-83.2948922,﻿nash.tn.0026,﻿Attended from Knoxville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0029,﻿church,not recorded,English,,,,﻿Hawkins County,,﻿Rogersville,﻿Rogersville,﻿TN,,36.407317,-83.0054423,﻿nash.tn.0026,﻿Attended from Knoxville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0030,﻿church,not recorded,English,,,,﻿Green County,﻿Greene County,﻿Greenville,﻿Greenville,﻿TN,,36.1631574,-82.8309861,﻿nash.tn.0026,﻿Attended from Knoxville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0031,﻿church,not recorded,English,,,,﻿Washington County,,﻿Jonesboro,﻿Jonesborough,﻿TN,,36.2942722,-82.4734787,﻿nash.tn.0026,﻿Attended from Knoxville,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0032,﻿church,not recorded,English,,,,﻿Hamilton County,,﻿Chattanooga,﻿Chattanooga,﻿TN,,35.0457984,-85.3093995,,,,,﻿Rev.,﻿H. V. Brown,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0032,﻿church,not recorded,English,,,,﻿Hamilton County,,﻿Chattanooga,﻿Chattanooga,﻿TN,,35.0457984,-85.3093995,,,,,﻿Rev.,﻿A. J. Ryan,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0033,﻿church,not recorded,English,,,,﻿Marion County,﻿Marion County,﻿Etna,﻿Whiteside,﻿TN,,34.987222,-85.497778,﻿nash.tn.0032,﻿Attended from Chattanooga,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0034,﻿church,not recorded,English,,,,﻿Miles County,﻿Overton County,﻿Alpine,﻿Alpine,﻿TN,,36.394722,-85.216944,﻿nash.tn.0032,﻿Attended from Chattanooga,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0035,﻿church,not recorded,English,,,,﻿Bradley County,,﻿Cleveland,﻿Cleveland,﻿TN,,35.1595182,-84.8766115,﻿nash.tn.0032,﻿Attended from Chattanooga,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0018,﻿church,﻿St. Patrick's,English,,,,﻿Humphries County,﻿Humphreys County,﻿McEwen's,﻿McEwen,﻿TN,,36.1078375,-87.6330745,,,,,﻿Rev.,﻿L. Orengo,﻿O.P.,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0019,﻿church,not recorded,English,,,,,﻿Davidson County,﻿Newsom's Station,﻿Nashville,﻿TN,,36.07985142,-86.99603359,,﻿Attended by Rev. L. Orengo,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0020,﻿church,not recorded,English,,,,﻿Humphries County,﻿Humphreys County,﻿Waverley,﻿Waverley,﻿TN,,36.0839489,-87.794747,,﻿Attended by Rev. L. Orengo,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0021,﻿church,not recorded,English,,,,,,﻿Johnsonville,﻿New Johnsonville,﻿TN,,36.019087,-87.967619,,﻿Attended by Rev. L. Orengo,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0051,﻿church,not recorded,English,,,,﻿Benton County,﻿Williamson County(?),﻿Camden,,﻿TN,,,,,﻿Attended by Rev. L. Orengo,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0025,﻿church,not recorded,English,,,,﻿Benton County,﻿Williamson County(?),﻿Franklin,﻿Franklin,﻿TN,,35.9250637,-86.8688899,,﻿Attended by Rev. L. Orengo,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0023,﻿church,﻿Church of St. Dominick,English,,,,,﻿Maury County,﻿Columbia,﻿Columbia,﻿TN,,35.6150716,-87.0352831,,﻿Attended by Rev. L. Orengo,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0024,﻿church,not recorded,English,,,,﻿Giles County,,﻿Pulaski,﻿Pulaski,﻿TN,,35.1998023,-87.0308412,,﻿Attended by Rev. L. Orengo,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0036,﻿church,﻿St. Joseph's,English,,,,,﻿Bedford County,﻿Shelbyville,﻿Shelbyville,﻿TN,,35.483406,-86.4602717,,,,,﻿Rev.,﻿W. J. Revis,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0037,﻿church,not recorded,English,,,,,﻿Rutherford County,﻿Murfreesboro,﻿Murfreesboro,﻿TN,,35.8456213,-86.39027,,﻿Attended by Rev. W. J. Revis,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0038,﻿church,not recorded,English,,,,,﻿Grundy County,﻿Tracy City,﻿Tracy City,﻿TN,,35.2603569,-85.7360833,,﻿Attended by Rev. W. J. Revis,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0052,﻿church,not recorded,English,,,,,,﻿Winchester,,,,,,,﻿Attended by Rev. W. J. Revis,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0014,﻿church,﻿Church of Our Lady of Seven Dolors,English,,,,﻿Madison County,,﻿Jackson,﻿Jackson,﻿TN,,35.6145169,-88.8139469,,,,,﻿Rev.,﻿F. O'Brien,,﻿Pastor,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0013,﻿church,not recorded,English,,,,﻿Gibson County,,﻿Humboldt,,﻿TN,,,,,﻿Attended by Rev. F. O'Brien,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0015,﻿church,not recorded,English,,,,﻿Hardiman County,﻿Hardeman County,﻿Bolivar,﻿Bolivar,﻿TN,,35.2561937,-88.9878389,,﻿Attended by Rev. F. O'Brien,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0016,﻿church,not recorded,English,,,,﻿Haywood County,,﻿Brownsville,﻿Brownsville,﻿TN,,35.6513888,-89.3226954,,﻿Attended by Rev. F. O'Brien,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0017,﻿church,not recorded,English,,,,﻿Hardiman County,﻿Hardeman County,﻿Grand Junction,﻿Grand Junction,﻿TN,,35.048023,-89.190177,,﻿Attended by Rev. F. O'Brien,,,,,,,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0039,﻿academy,﻿St. Cecilia's Academy,English,,,,,,﻿Nashville,﻿Nashville,﻿TN,,36.1318756,-86.8412955,,,,,﻿Mother,﻿Anne Hanlon,,﻿Superior,,,,,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0001_04,﻿academy,﻿St. Bernard's Academy,English,,﻿corner Cedar and Summer streets,,,,﻿Nashville,﻿Nashville,﻿TN,,36.132225,-86.805141,,,,,﻿Mother,﻿M. Clare,,﻿Superior,,,,﻿Sisters of Mercy,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0041,﻿school,﻿St. Mary's Parochial School,English,,,,,,﻿Nashville,﻿Nashville,﻿TN,,36.2084018,-86.8234592,,,,,,,,,,,,﻿Sisters of Mercy,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0048,﻿asylum,﻿St. Mary's Orphan Asylum,English,,,,,,﻿Nashville,﻿Nashville,﻿TN,,36.1657393,-86.7813041,,,,,,,,,,,,﻿In charge of the Dominican Sisters,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0043,﻿academy,﻿St. Agnes' Academy,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.1320804,-89.9005692,,,,,﻿Mother,﻿Mary Joseph,,﻿Superior,,,,﻿Dominican Sisters,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0044,﻿school,﻿Notre Dame de La Salette,English,﻿Select school,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.1495343,-90.0489801,,,,,,,,,,,,﻿Dominican Sisters,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0049,﻿asylum,﻿St. Peter's Orphan Asylum,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,35.1495343,-90.0489801,,,,,,,,,,,,﻿Dominican Sisters,,1868,﻿,﻿,﻿Nashville,Nashville
﻿nash.tn.0053,﻿asylum,﻿Watkins's Infirmary,English,,,,,,﻿Memphis,﻿Memphis,﻿TN,,,,,,,,,,,,,,,﻿Dominican Sisters,,1868,﻿,﻿,﻿Nashville,Nashville
