instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿Residence at 263 Mulberry Street,﻿Prince and Mott streets,,,,﻿New York City,,﻿NY,,,,,,,,﻿Most Rev.,﻿John McCloskey,﻿D.D.,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,﻿Prince and Mott streets,,,,﻿New York City,,﻿NY,,,,,,,,﻿Very Rev.,﻿William Starrs,﻿V.G.,﻿Rector,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,﻿Prince and Mott streets,,,,﻿New York City,,﻿NY,,,,,,,,﻿Rev.,﻿Francis McNeirny,,﻿Secretary,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,﻿Prince and Mott streets,,,,﻿New York City,,﻿NY,,,,,,,﻿pat_f_mcsweeney_001,﻿Rev.,﻿Patrick F. McSweeny,﻿D.D.,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,﻿Prince and Mott streets,,,,﻿New York City,,﻿NY,,,,,,,,﻿Rev.,﻿James H. McGean,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,﻿,﻿Prince and Mott streets,,,,﻿New York City,,﻿NY,,,,,,,,﻿Rev.,﻿John F. Kearney,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,﻿Residence at 15 Barclay street,﻿Barclay and Church streets,,,,﻿New York City,,﻿NY,,,,,,,,﻿Rev.,﻿William Quinn,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,﻿Residence at 15 Barclay street,﻿Barclay and Church streets,,,,﻿New York City,,﻿NY,,,,,,,﻿gab_a_healy_001,﻿Rev.,﻿Gabriel J. Healy,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,﻿,﻿Barclay and Church streets,,,,﻿New York City,,﻿NY,,,,,,,﻿joh_shanahan_001,﻿Rev.,﻿John Shanahan,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0047,﻿church,﻿St. Andrew's,English,﻿Residence at 31 City Hall Place,﻿Duane street and City Hall Place,,,,﻿New York City,,﻿NY,,,,,,,,﻿Rev.,﻿Michael Curran,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0047,﻿church,﻿St. Andrew's,English,﻿,﻿Duane street and City Hall Place,,,,﻿New York City,,﻿NY,,,,,,,﻿l_mckenna_001,﻿Rev.,﻿Lawrence McKenna,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0044,﻿church,﻿St. James',English,﻿Residence at 23 Oliver street,﻿James street and New Bowery,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Felix H. Farrelly,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0044,﻿church,﻿St. James',English,﻿,﻿James street and New Bowery,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Cornelius J. O'Callaghan,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0046,﻿church,﻿Transfiguration,English,﻿Residence at 30 Mott street,﻿Mott and Park streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Thomas Treanor,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0046,﻿church,﻿Transfiguration,English,﻿Residence at 30 Mott street,﻿Mott and Park streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿James Quinn,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0043,﻿church,﻿St. Mary's,English,﻿Residence at 11 Ridge street,﻿Grand and Ridge streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Michael McCarron,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0043,﻿church,﻿St. Mary's,English,﻿,﻿Grand and Ridge streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Michael McKenna,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0043,﻿church,﻿St. Mary's,English,﻿,﻿Grand and Ridge streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿John Donnelly,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0048,﻿church,﻿St. Teresa's,English,﻿Residence at 141 Henry street,﻿Rutgers and Henry streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿James Boyce,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0048,﻿church,﻿St. Teresa's,English,﻿,﻿Rutgers and Henry streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Peter Ferrall,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0048,﻿church,﻿St. Teresa's,English,﻿,﻿Rutgers and Henry streets,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿John Brogan,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0045,﻿church,﻿St. Joseph's,English,﻿Residence at 40 West Washington Place,﻿Sixth Avenue and West Washington Place,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Thomas Farrell,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0045,﻿church,﻿St. Joseph's,English,﻿,﻿Sixth Avenue and West Washington Place,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,﻿reu_j_parsons_001,﻿Rev.,﻿Reuben Parsons,﻿D.D.,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0045,﻿church,﻿St. Joseph's,English,﻿,﻿Sixth Avenue and West Washington Place,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Jerome Nobriga,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0052,﻿church,﻿Church of the Nativity,English,﻿Residence at 44 Second Avenue,"﻿Second Avenue, between Second and Third streets",,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿George McCloskey,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0052,﻿church,﻿Church of the Nativity,English,﻿Residence at 44 Second Avenue,"﻿Second Avenue, between Second and Third streets",,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿William Everett,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0052,﻿church,﻿Church of the Nativity,English,﻿,"﻿Second Avenue, between Second and Third streets",,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,﻿jer_griffin_001,﻿Rev.,﻿Jeremiah H. Griffin,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0055,﻿church,﻿St. Bridget's,English,﻿Residence at 119 Avenue B,﻿Avenue B and Eight street,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Thomas J. Mooney,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0055,﻿church,﻿St. Bridget's,English,﻿,﻿Avenue B and Eight street,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿James Fitzsimmons,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0055,﻿church,﻿St. Bridget's,English,﻿,﻿Avenue B and Eight street,,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,﻿joh_j_mccauley_001,﻿Rev.,﻿John McCauley,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0051,﻿church,﻿St. Nicholas,﻿German,﻿Residence at 112 First street,"﻿Second street, between First Avenue and Avenue A.",,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,﻿fel_krebbs_001,﻿Rev.,﻿Felician Krebes,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0051,﻿church,﻿St. Nicholas,﻿German,﻿,"﻿Second street, between First Avenue and Avenue A.",,,,﻿New York City,,﻿NY,,40.71237513,-73.99894552,,,,,﻿Rev.,﻿Adam Tonner,,,,,,,,1867,﻿,﻿,﻿New York,NewYorkCity
