instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,,,,,﻿jam_r_bayley_001,﻿Rt. Rev.,﻿James Roosevelt Bayley,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,,,,,,﻿Rev.,﻿George H. Doane,,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,,,,,﻿w_m_wigger_001,﻿Rev.,﻿Winand M. Wigger,,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society; two sodalities of the Blessed Virgin,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.742097,,,,,,﻿Rev.,﻿Charles A. Reilly,,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.738052,,,,,,﻿Rev.,﻿Thomas M. Killeen,,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.738052,,,,,,﻿Rev.,﻿Joseph Roldano,,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.747065,,,,,,﻿Rev.,﻿Romanus Hill,﻿O.S.B.,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.747065,,,,,,﻿Rev.,﻿Bruno Reiss,﻿O.S.B.,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.747065,,,,,,﻿Rev.,﻿Bernardine Dolweck,﻿O.S.B.,,,,,,,1868,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.747065,,,,,,﻿Rev.,﻿William Walter,﻿O.S.B.,,,,,,,1868,﻿,﻿,﻿Newark,Newark
