instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,,,,,,﻿f_n_blanchet_001,﻿Most Rev.,﻿F. N. Blanchet,,,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,,,,,,﻿joh_f_fierens_001,﻿Very Rev.,﻿John F. Fierens,,﻿Rector,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,,,,,,﻿cha_tierney_001,﻿Rev.,﻿Charles Tierney,,﻿Assistant,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,,,,,,﻿lew_piette_001,﻿Rev.,﻿Lewis Piette,,﻿Chaplain of the Sisters,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0002,﻿church,﻿Sacred Heart's Church,English,﻿1846,,,,,﻿Oregon City,﻿Oregon City,﻿OR,,,,﻿ore.or.0001,﻿Attended from Portland,,,,,,,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0003,﻿church,﻿St. John the Baptist's Church,English,"﻿blessed July 24, 1864",,,,,﻿Milwaukee,﻿Milwaukee,﻿OR,,,,﻿ore.or.0002,﻿Attended from Portland,,,,,,,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0007,﻿church,not recorded,English,,,,﻿Washington County,,﻿Hillboro,﻿Hillsboro,﻿OR,,,,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0009,﻿church,not recorded,English,,﻿Stevens' Military Fort,﻿Point Adam,﻿Warrenton County,﻿Clatsop County,,,﻿OR,,,,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0004,﻿church,not recorded,English,,,,,,﻿Astoria,﻿Astoria,﻿OR,,,,﻿ore.or.0002,﻿attended from Portland,,,,,,,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
﻿ore.or.0010,﻿church,not recorded,English,,,,,,﻿Mount Rainier,﻿Rainier,﻿OR,,,,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1865,﻿,﻿,﻿Oregon City,OregonCity
