instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.43964457,-79.99690639,,,,,﻿Rt. Rev.,﻿M. Domenec,﻿D.D.,,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.43964457,-79.99690639,,,,,﻿Very Rev.,﻿J. Hickey,,﻿Rector,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.43964457,-79.99690639,,,,,﻿Rev.,﻿Mark Devlin,,﻿Assistant,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.43964457,-79.99690639,,,,,﻿Rev.,﻿J. Holland,,﻿Assistant,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0001,﻿cathedral,﻿St. Paul's Cathedral,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.43964457,-79.99690639,,,,,﻿Rev.,﻿P. Kerr,,﻿Assistant,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4495663,-79.9849717,,,,,﻿Rev.,﻿E. F. Garland,,﻿Rector,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0002,﻿church,﻿St. Patrick's,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.4495663,-79.9849717,,,,,﻿Rev.,﻿F. Tobin,,﻿Assistant,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0003,﻿church,﻿St. Philomena's,﻿German,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.44711224,-79.98928255,,,,,﻿Rev.,﻿F. Petsh,﻿C.SS.R,﻿Rector,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0004,﻿church,﻿St. Bridget's,English,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.44384197,-79.98292134,,,,,﻿Rev.,﻿J. Treacy,,,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
﻿pit.pa.0005,﻿church,﻿Holy Trinity,﻿German,,,,﻿Allegheny County,﻿Allegheny County,﻿Pittsburgh,﻿Pittsburgh,﻿PA,,﻿40.44086124,-79.986622,,,,,﻿Rev.,﻿Celestine Engelbrecht,﻿O.S.B.,,,,,,,1870,﻿,﻿,﻿Pittsburgh,Pittsburgh
