instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,,﻿Rt. Rev.,﻿D. W. Bacon,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,﻿joh_de-rose_001,﻿Rev.,﻿John A. De Rose,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,,﻿Rev.,﻿John Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,,﻿Rev.,﻿Michael O'Brien,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,,﻿Rev.,﻿Louis Mussaers,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0002,﻿church,﻿St. Dominick's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,,﻿Rev.,﻿Michael O'Brien,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0002,﻿church,﻿St. Dominick's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,,﻿Rev.,﻿Louis Mussaers,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0003,﻿chapel,﻿Calvary Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,﻿por.me.0002,﻿attended from St. Dominick's Church,,,﻿Rev.,﻿M. O'Brien,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0004,﻿chapel,﻿St. Aloysius' Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,﻿#NUM!,﻿#NUM!,,,,,﻿Rev.,﻿John Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0005,﻿chapel,﻿Convent Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,﻿43.66072,﻿-70.258078,,,,,﻿Rev.,﻿John Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
