instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ric.va.0001,﻿church,not recorded,English,,,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,,,,,﻿Service every Sunday,﻿tim_obrien_901,﻿Rev.,﻿Timothy O'Brien,,,,,,,,1840,"﻿https://en.wikipedia.org/wiki/St._Peter%27s_Pro-Cathedral_(Richmond,_Virginia)#:~:text=Article-,St.,Sacred%20Heart%20in%201906%2C%20St. ; https://richmonddiocese.org/parishes/saint-peter/",﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0001,﻿church,not recorded,English,,,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,,,,,,﻿joh_obrien_901,﻿Rev.,﻿John O'Brien,,,,,,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0015,﻿church,not recorded,English,,,,﻿Norfolk County,,﻿Norfolk,﻿Norfolk,﻿VA,﻿VA,,,,,﻿Service every Sunday,﻿ale_hitselberger_901,﻿Rev.,﻿A. Hitselberger,,,,,,,,1840,﻿https://www.basilicaofsaintmary.org/history,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0017,﻿church,not recorded,English,,,,﻿Norfolk County,﻿Norfolk County,﻿Portsmouth,﻿Portsmouth,﻿VA,﻿VA,,,,,﻿Service every Sunday,﻿w_moriarty_901,﻿Rev.,﻿W. Moriarty,,,,,,,,1840,﻿https://oldetowneportsmouth.com/listings/st-pauls-catholic-church/ ; https://www.clusterparishes.com/,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0009,﻿church,not recorded,English,,,,﻿Berkely County,﻿Berkeley County,﻿Martinsburg,﻿Martinsburg,﻿VA,﻿WV,,,,,,﻿ric_whelan_901,﻿Rev.,﻿Richard Whelan,,,,,,,,1840,"﻿https://en.wikipedia.org/wiki/Martinsburg,_West_Virginia#:~:text=The%20city%20of%20Martinsburg%20was,Legislature%20on%20March%2030%2C%201868.&text=Martinsburg%20became%20a%20center%20of%20the%20railroad%20industry%20and%20its%20workers. ; https://stjosephwv.org/",﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0012,﻿station,not recorded,English,,,,,,﻿Winchester,,﻿VA,﻿VA,,,,,﻿occasionally,﻿ric_whelan_901,﻿Rev.,﻿Richard Whelan,,,,,,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿bal.md.9013,﻿station,not recorded,English,,,,,﻿Loudoun County,﻿Waterford,﻿Waterford,﻿VA,﻿VA,,,,,﻿occasionally,﻿ric_whelan_901,﻿Rev.,﻿Richard Whelan,,,,,,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0011,﻿church,not recorded,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Harper's Ferry,﻿Harper's Ferry,﻿VA,﻿WV,,,,﻿from Martinsburg,,,,,,,,,,,,1840,﻿https://www.stjameswv.org/history-of-st-james-the-greater ; possible history to touch on in the future w/ a profile: http://www.histarch.illinois.edu/harper/StPeterhistory1.html#V,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0010,﻿church,﻿St. Vincent's,English,,,,﻿Morgan County,﻿Bath County,﻿Bath,,﻿VA,﻿VA,,,,﻿from Martinsburg,,,,,,,,,,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿bal.md.9014,﻿station,not recorded,English,,,,﻿Hampshire County,﻿Hampshire County,﻿Romney,﻿Romney,﻿VA,﻿WV,,,,"﻿from Cumberland, Md.",,,,,,,,,,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿bal.md.9014,﻿church,not recorded,English,,,,﻿Hardy County,﻿Hampshire County,﻿Moorfield,﻿Romney,﻿VA,,,,,"﻿from Cumberland, Md.",,,,,,,,,,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿whe.va.0001,﻿church,not recorded,English,,,,﻿Ohio County,﻿Ohio County,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,,,,,﻿Service every Sunday,﻿jam_haerner_901,﻿Rev.,﻿James Haerner,,,,,,,,1840,﻿https://saintjosephcathedral.com/our-history/,﻿,﻿,﻿Richmond,Richmond
﻿whe.va.0001,﻿female academy,﻿St. Vincent's Female Benevolent School,English,,,,﻿Berkely County,﻿Ohio County,﻿Martinsburg,﻿Wheeling,﻿VA,,,,,,,﻿ric_whelan_901,,﻿Richard Whelan,,﻿Subscriber,,﻿scholars,﻿40 scholars,﻿Sisters of Charity,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿whe.va.0001,﻿female academy,﻿St. Vincent's Female Benevolent School,English,,,,﻿Berkely County,﻿Ohio County,﻿Martinsburg,﻿Wheeling,﻿VA,,,,,,,,,,,,,﻿Sisters of Charity,﻿three Sisters of Charity,﻿Sisters of Charity,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0033,﻿female school,﻿St. Mary's School for Girls,English,,,,,,﻿Norfolk,,﻿VA,,,,,,,,,,,,,﻿Sisters of Charity,﻿three Sisters of Charity,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0033,﻿female school,﻿St. Mary's School for Girls,English,,,,,,﻿Norfolk,,﻿VA,,,,,,,,,,,,,﻿pupils,﻿between 40 and 50 pupils,,,1840,,﻿,﻿,﻿Richmond,Richmond
﻿ric.va.0030,﻿orphanage,﻿St. Joseph's Orphan Asylum,English,,,,,,﻿Richmond,,﻿VA,,,,,,,,,,,,,﻿Sisters of Charity,﻿3 Sisters of Charity,,,1840,,﻿,﻿,﻿Richmond,Richmond
