instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16004987,-77.61970096,,,,,﻿Rt. Rev.,﻿Bernard J. McQuaid,﻿D.D.,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16004987,-77.61970096,,,,,﻿Very Rev.,﻿James M. Early,﻿V.G.,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16004987,-77.61970096,,,,,﻿Rev.,﻿James F. O'Hare,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16004987,-77.61970096,,,,,﻿Rev.,﻿Joseph McKenna,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16004987,-77.61970096,,,,,﻿Rev.,﻿H. De Regge,,﻿Chancellor,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0002,﻿church,﻿St. Joseph's,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.15943418,-77.60657043,,,,,﻿Rev.,﻿Geo Roland,﻿C.SS.R.,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0003,﻿church,﻿St. Mary's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1532503,-77.60607098,,,,,﻿Rev.,﻿Peter Barker,﻿D.D.,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0004,﻿church,﻿Immaculate Conception,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.14667849,-77.61678265,,,,,﻿Rev.,﻿Patrick Byrnes,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0005,﻿church,﻿St. Bridget's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16690784,-77.61210534,,,,,﻿Rev.,﻿Nicholas Byrne,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0006,﻿church,﻿St. Peter's,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.15507541,-77.62642481,,,,,﻿Rev.,﻿F. Sinclair,﻿D.D.,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0007,﻿church,﻿St. Boniface's,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1427357,-77.6031374,,,,,﻿Rev.,﻿J. F. Payer,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0008,﻿church,﻿Our Lady of Victory,﻿French,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1590313,-77.6089505,,,,,﻿Rev.,﻿Joseph Dolé,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0009,﻿church,﻿Holy Family,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1588492,-77.64441611,,,,,﻿Rev.,﻿Leopold Hoffschneider,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0010,﻿church,﻿Most Holy Redeemer,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.17563392,-77.59838994,,,,,﻿Rev.,﻿Fidelis Oberholzer,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0011,﻿church,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Monroe County,﻿Monroe County,﻿Brockport,﻿Brockport,﻿NY,,43.2136713,-77.9391797,,,,,﻿Rev.,﻿Richard J. Storey,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0012,﻿church,﻿St. John Evangelist,English,,,,﻿Monroe County,﻿Monroe County,﻿Spencerport,﻿Spencerport,﻿NY,,43.1864501,-77.8038972,,,,,﻿Rev.,﻿Richard J. Storey,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0013,﻿church,﻿Assumption of the Blessed Virgin Mary,English,,,,﻿Monroe County,﻿Monroe County,﻿Fairport,﻿Fairport,﻿NY,,43.0986742,-77.4419378,,,,,﻿Rev.,﻿L. J. Miller,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0014,﻿church,﻿Mother of Sorrows,English,,,,﻿Monroe County,﻿Monroe County,﻿Greece,﻿Greece,﻿NY,,43.2526336,-77.65886931,,,,,﻿Rev.,﻿John M. Maurice,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0015,﻿church,﻿Holy Cross,English,,,,﻿Monroe County,﻿Monroe County,﻿Charlotte,﻿Rochester,﻿NY,,43.2349747,-77.6221091,,,,,﻿Rev.,﻿John M. Maurice,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0016,﻿church,﻿St. John Evangelist's,English,,,,﻿Monroe County,﻿Monroe County,﻿Ridge,﻿Riga,﻿NY,,43.2994285,-74.2179326,,,,,﻿Rev.,﻿John M. Maurice,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0017,﻿church,﻿Assumption,English,,,,﻿Monroe County,﻿Monroe County,﻿Scottsville,﻿Scottsville,﻿NY,,43.0258957,-77.7452826,,,,,﻿Rev.,﻿Thomas A. Maher,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0018,﻿church,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Mumfordville,﻿Mumford,﻿NY,,42.9766534,-77.85577109,,,,,﻿Rev.,﻿Thomas A. Maher,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0019,﻿church,﻿St. Fechan,English,,,,﻿Monroe County,﻿Monroe County,﻿Chili,﻿Chili,﻿NY,,43.1138701,-77.755043,,,,,﻿Rev.,﻿Michael Purcell,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0020,﻿church,﻿St. Paul's,English,,,,﻿Monroe County,﻿Monroe County,﻿Honeoye Falls,﻿Honeoye Falls,﻿NY,,42.9522855,-77.5902759,﻿roc.ny.0024,﻿Attended from Lima,,,,,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0021,﻿church,﻿Holy Trinity,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Webster,﻿Webster,﻿NY,,43.2122851,-77.4299939,,,,,,,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0022,﻿church,﻿St. Agnes',English,,,,﻿Livingston County,﻿Livingston County,﻿Avon,﻿Avon,﻿NY,,42.9135097,-77.745194,,,,,﻿Rev.,﻿John L. O'Keefe,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0023,﻿church,﻿St. Joseph's,English,,,,﻿Livingston County,﻿Monroe County,﻿Rush,﻿Rush,﻿NY,,42.1424234,-73.7779162,,,,,﻿Rev.,﻿John L. O'Keefe,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0024,﻿church,﻿St. Rose's,English,,,,﻿Livingston County,﻿Livingston County,﻿Lima,﻿Lima,﻿NY,,42.9047857,-77.6113869,,,,,﻿Rev.,﻿William A. Gregg,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0025,﻿church,﻿St. Michael's,English,,,,﻿Livingston County,﻿Livingston County,﻿Livonia,﻿Livonia,﻿NY,,42.82173387,-77.63892126,,,,,﻿Rev.,﻿William A. Gregg,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0026,﻿church,﻿St. Mary's,﻿German,,,,﻿Livingston County,﻿Livingston County,﻿Dansville,﻿Dansville,﻿NY,,42.5603213,-77.6929416,,,,,﻿Rev.,﻿Jos. Albinger,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0027,﻿church,﻿St. Patrick's,English,,,,﻿Livingston County,﻿Livingston County,﻿Dansville,﻿Dansville,﻿NY,,42.5608999,-77.696106,,,,,﻿Rev.,﻿Jos. Albinger,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0028,﻿church,﻿St. Patrick's,English,,,,﻿Livingston County,﻿Livingston County,﻿Mount Morris,﻿Mount Morris,﻿NY,,42.7256184,-77.8741694,,,,,﻿Rev.,﻿David O'Brien,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0029,﻿church,﻿St. Mary's,English,,,,﻿Livingston County,﻿Livingston County,﻿Geneseo,﻿Geneseo,﻿NY,,42.795896,-77.816947,,,,,﻿Rev.,﻿David O'Brien,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
﻿roc.ny.0030,﻿church,﻿Holy Angels',English,,,,﻿Livingston County,﻿Livingston County,﻿Nunda,﻿Nunda,﻿NY,,42.5845935,-77.9396891,,,,,,,,,,,,,,1870,﻿,﻿,﻿Rochester,Rochester
