instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,﻿aug_vérot_001,﻿Rt. Rev.,﻿Augustin Vérot,﻿D.D.,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,﻿jer_f_oneill_001,﻿Very Rev.,﻿J. F. O'Neill,,﻿V.G.,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿Rev.,﻿P. Whelan,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿Very Rev.,﻿Peter Dufau,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,﻿Residence of the Pastor,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0745249,-81.0939107,,,,﻿cc_prendergast_001,﻿Rev.,﻿C. C. Prendergast,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,﻿Residence of the Pastor,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0745249,-81.0939107,,,,,﻿Rev.,﻿Patrick Kirby,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.9667935,,,,,﻿Rev.,﻿G. Duggan,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.9667935,,,,,﻿Rev.,﻿John Kirby,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.9667935,,,,,﻿Rev.,﻿James O'Hara,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0004,﻿church,﻿Church of the Assumption,English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.8406946,-83.6324022,,,,﻿wj_hamilton_001,﻿Rev.,﻿William Hamilton,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0004,﻿church,﻿Church of the Assumption,English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.8406946,-83.6324022,,,,,﻿Rev.,"﻿F. O'Neill, Jr.",,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0005,﻿church,﻿Church of the Immaculate Conception,English,"﻿The city of Atlanta has suffered awfully from the war, but the Church was providentially saved, and the Catholics are returning fast to their homes.",,,,,﻿Atlanta,﻿Atlanta,﻿GA,,33.748752,-84.3876845,,,,,﻿Rev.,﻿James Hasson,,,﻿now absent on account of sickness,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0005,﻿church,﻿Church of the Immaculate Conception,English,"﻿The city of Atlanta has suffered awfully from the war, but the Church was providentially saved, and the Catholics are returning fast to their homes.",,,,,﻿Atlanta,﻿Atlanta,﻿GA,,33.748752,-84.3876845,,,,,﻿Rev.,﻿Thomas O'Reilly,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0006,﻿church,﻿Church of St. Philip and St. James,English,,,,,,﻿Columbus,﻿Columbus,﻿GA,,32.4609764,-84.9877094,,,,,﻿Rev.,﻿Michael Cullinan,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0007,﻿mission,not recorded,English,,,,﻿McIntosh County,﻿McIntosh County,﻿Darien,﻿Darien,﻿GA,,31.3702255,-81.4339903,﻿sav.ga.0002,"﻿Attended from Savannah, by the clergy of St. Patrick's",,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0008,﻿mission,not recorded,English,,,,﻿Glynn County,﻿Glynn County,﻿Brunswick,﻿Brunswick,﻿GA,,31.1510919,-81.4878157,﻿sav.ga.0002,"﻿Attended from Savannah, by the clergy of St. Patrick's",,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0009,﻿mission,not recorded,English,﻿where a small church was destroyed by fire during the war,,,﻿Camden County,﻿Camden County,﻿St. Mary's,﻿St. Mary's,﻿GA,,30.7478954,-81.5706109,﻿sav.ga.0002,"﻿Attended from Savannah, by the clergy of St. Patrick's",,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0046,﻿station,not recorded,English,"﻿also numerous stations on the Gulf road, as far as Thomasville and Bainbridge; likewise some stations in Scriven and Effingham counties",,﻿Gulf Road,,,﻿Thomasville,,﻿GA,,30.81977349,-83.83966927,﻿sav.ga.0002,"﻿Attended from Savannah, by the clergy of St. Patrick's",,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0051,﻿station,not recorded,English,"﻿also numerous stations on the Gulf road, as far as Thomasville and Bainbridge; likewise some stations in Scriven and Effingham counties",,﻿Gulf Road,﻿Scriven County,﻿Screven County,,,﻿GA,,32.73228466,-81.60530012,,,,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0052,﻿station,not recorded,English,"﻿also numerous stations on the Gulf road, as far as Thomasville and Bainbridge; likewise some stations in Scriven and Effingham counties",,﻿Gulf Road,﻿Effingham County,,,,﻿GA,,32.32693249,-81.36451586,,,,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0010,﻿church,﻿Purification of the B.V.M.,English,"﻿an old Catholic settlement of the Diocese, with a church, under the title of the Purification of the B.V.M., and a regularly consecrated graveyard. The settlement was partially abandoned by the former inhabitants, but offers great inducements to Catholic settlers.",,,﻿Henry County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,,33.3459495,-84.109083,﻿sav.ga.0003,﻿Attended from Augusta,"﻿once a month, on the second week of the month, and on Sunday every other month",,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0011,﻿church,not recorded,English,﻿There is here also a small church,,,﻿Washington County,﻿Wilkes County,﻿Washington,﻿Washington,﻿GA,,33.7367948,-82.7393089,﻿sav.ga.0003,﻿Attended from Augusta,﻿once a month,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0047,﻿station,not recorded,English,,"﻿stations on the Georgia road and its branches, Athens, Union Point, Greensboro, Sparta, etc.",﻿Georgia Road,,,﻿Athens,,﻿GA,,33.59841722,-83.13526489,﻿sav.ga.0003,﻿Attended from Augusta,,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0053,﻿station,not recorded,English,,"﻿stations on the Georgia road and its branches, Athens, Union Point, Greensboro, Sparta, etc.",﻿Georgia Road,,,﻿Union Point,,﻿GA,,33.61760154,-83.07553685,,,,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0054,﻿station,not recorded,English,,"﻿stations on the Georgia road and its branches, Athens, Union Point, Greensboro, Sparta, etc.",﻿Georgia Road,,,﻿Greensboro,,﻿GA,,33.57375844,-83.18349127,,,,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0055,﻿station,not recorded,English,,"﻿stations on the Georgia road and its branches, Athens, Union Point, Greensboro, Sparta, etc.",﻿Georgia Road,,,﻿Sparta,,﻿GA,,33.27608325,-82.96672147,,,,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0013,﻿church,not recorded,English,﻿there is a brick church recently built,,,,﻿Dougherty County,﻿Albany,﻿Albany,﻿GA,,31.5785074,-84.155741,﻿sav.ga.0004,﻿Attended from Macon,,,,,,,,,,,,1866,﻿,﻿,﻿Savannah,Savannah
