instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,Unnamed: 29,NOTES,sources,Unnamed: 32,attendingPersID,attendingChurchNote,order,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.64254815,-90.25465453,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿phi_borgna_901,﻿Very Rev.,﻿Philip Borgna,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿jos_a_lutz_901,﻿Rev.,﻿Joseph A. Lutz,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0046,﻿church,﻿St. Vincent's,﻿English,,,,﻿Cape Girardeau County,,﻿Cape Girardeau,﻿Cape Girardeau,﻿MO,,37.314843,-89.545672,,﻿attended by a priest from the Seminary at the Barrens,,﻿#REF!,,,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9000,﻿church,﻿Church of our Lady of Mount Carmel,﻿French,﻿Commonly called Vide-Poche. Service three Sundays in the month.,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.5579011,-90.24998076,,,,﻿e_saulnier_901,﻿Rev.,﻿E. Saulnier,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9001,﻿church,not recorded,English,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardennes,﻿Dardenne Prairie,﻿MO,﻿MO,38.75765244,-90.74398902,,,,﻿p_hoecken_901,﻿Rev.,﻿P. Hoecken,,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,1836,"﻿https://en.wikipedia.org/wiki/Dardenne_Prairie,_Missouri ; https://genealogytrails.com/mo/stcharles/hist_towns.htm ; These sources say that the present church did not open until 1880, so it is hard to say where this church actually was",,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0062,﻿church,﻿St. Ferdinand's Church,﻿French and English,,,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.80672647,-90.35444261,,,,﻿j_g_buschotts_901,﻿Rev.,﻿J. G. Buschotts,,,,,,,1836,﻿https://www.stferdinandstl.org/history,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿French and English,,,,﻿Madison County,﻿Madison County,﻿Fredericktown,﻿Fredericktown,﻿MO,﻿MO,37.56005085,-90.29888383,,,,﻿fra_cellini_901,﻿Rev.,﻿Francis Cellini,,,,,,,1836,﻿https://stmichaelfredericktown.com/history,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.9002,﻿church,﻿St. Peter's Church,English,,,,,﻿Morgan County,﻿Gravois,﻿Gravois Mill,﻿MO,﻿MO,38.30918822,-92.82273654,,,﻿once a month,﻿#REF!,﻿Very Rev.,﻿Philip Borgna,,,,,,,1836,,,,,﻿,﻿,﻿,﻿StLouis,StLouis
﻿stl.mo.0103,﻿church,not recorded,﻿English and French,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿v_paillasson_901,﻿Rev.,﻿V. Paillasson,,,,,,,1836,"﻿https://icnewmadrid.com/church-history ; 1833 almanac mentions no name for the church, but the 1860s/70s almanacs mention a St. John. The church site says that said church(es) came after the war. This means that this one in the 1833 almanac is likely the precursor.",,,,﻿,﻿,﻿,﻿StLouis,StLouis
