instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,﻿residence adjoining,"﻿Walnut street, between Second and Third",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6259278,-90.1958971,,,,﻿f_w_kielty_001,﻿Rev.,﻿F. W. Kielty,,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,﻿residence adjoining,"﻿Walnut street, between Second and Third",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6259278,-90.1958971,,,,﻿p_r_donnelly_001,﻿Rev.,﻿P. R. Donnelly,,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,﻿residence adjoining,"﻿Walnut street, between Second and Third",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6259278,-90.1958971,,,,,﻿Rev.,﻿D. Phelan,,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's,﻿German,﻿residence adjoining,﻿Third and Cedar,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6270025,-90.1994042,,,,﻿j_melcher_001,﻿Very Rev.,﻿J. Melcher,,﻿V.G.,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's,﻿German,﻿residence adjoining,﻿Third and Cedar,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6270025,-90.1994042,,,,﻿h_muhlsiepen_001,﻿Rev.,﻿H. Muhlsiepen,,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,﻿residence St. Louis University,﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.63168764,-90.19243435,,,,﻿mic_j_corbett_001,﻿Rev.,﻿M. Corbett,﻿S.J.,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,﻿residence St. Louis University,﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.63168764,-90.19243435,,,,﻿f_sautois_001,﻿Rev.,﻿F. Sautois,﻿S.J.,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,﻿residence St. Louis University,﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.63168764,-90.19243435,,,,﻿joh_coghlan_002,﻿Rev.,﻿J. Coghlan,﻿S.J.,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0004,﻿church,﻿St. Patrick's,English,﻿residence adjoining,﻿Sixth and Biddle streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6378004,-90.1969904,,,,,﻿Rev.,﻿W. Wheeler,,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0004,﻿church,﻿St. Patrick's,English,﻿residence adjoining,﻿Sixth and Biddle streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.6378004,-90.1969904,,,,﻿ch_ziegler_001,﻿Rev.,﻿C. Ziegler,,,,,,,,1864,﻿,﻿,﻿St. Louis,StLouis
