instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sta.fl.0001,﻿church,﻿Church of St. Augustine,English,,,,﻿St. John's County,,﻿St. Augustine,﻿Saint Augustine,﻿FL,,29.8921835,-81.3139313,,,,﻿edm_aubril_001,﻿Very Rev.,﻿Edmund Aubril,﻿C.P.M.,"﻿Vic. Gen, Pastor",,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0002,﻿church,﻿Church of the Immaculate Conception,English,,,,﻿Duval County,,﻿Jacksonville,﻿Jacksonville,﻿FL,,30.3292125,-81.6555136,,,,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0030,﻿church,not recorded,English,,,,﻿Duval County,﻿Clay County,﻿Middleburgh,,﻿FL,,30.06909763,-81.87049621,﻿sta.fl.0002,﻿attended from Jacksonville,,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0011,﻿church,not recorded,English,,,,﻿Duval County,,﻿Mandarin,﻿Mandarin,﻿FL,,30.1494918,-81.6409217,﻿sta.fl.0031,﻿Attended from Josephstown,,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0031,﻿church,﻿Church of St. Joseph,English,"﻿Address Mandarin P.O., Fla.",,,﻿Duval County,,﻿Josephstown,﻿Mandarin,﻿FL,,30.1404473,-81.65343965,,,,﻿j_f_chambon_001,﻿Rev.,﻿John F. R. Chambon,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0007,﻿church,not recorded,English,﻿vacant,,,﻿Putnam County,,﻿Pilatka,﻿Palatka,﻿FL,,29.6485801,-81.6375819,﻿sta.fl.0001,﻿Attended from Jacksonville,﻿the last Sunday of every month,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0007,﻿church,not recorded,English,﻿vacant,,,﻿Putnam County,,﻿Pilatka,﻿Palatka,﻿FL,,29.6485801,-81.6375819,﻿sta.fl.0002,﻿or St. Augustine,,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0009,﻿church,not recorded,English,,,,,,﻿Sampsonville,﻿Sampson,﻿FL,,27.6648274,-81.5157535,﻿sta.fl.0031,﻿Attended from Josephstown,﻿occasionally,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0015,﻿church,not recorded,English,,,,,,﻿Diego,,﻿FL,,30.16343173,-81.38997682,﻿sta.fl.0031,﻿Attended from Josephstown,﻿occasionally,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0006,﻿church,not recorded,English,,﻿Amelia Island,,﻿Nassau County,,﻿Fernandina,﻿Fernandina Beach,﻿FL,,30.6669432,-81.4362671,﻿sta.fl.0032,﻿Attended from Old Town,,,,,,,,,,,,1865,﻿,﻿,﻿VAFlorida,VAFlorida
