instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿gra.ca.0001,﻿church,not recorded,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,﻿CA,39.1429134,-121.5882818,,,,﻿eug_oconnell_001,﻿Rt. Rev.,﻿Eugene O'Connell,﻿D.D.,,"﻿attend Oroville, Smartsville, Colusi, Foster's Bar, Bear River, Long Bar, Brown's Valley",,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0001,﻿church,not recorded,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,,39.1429134,-121.5882818,,,,﻿den_nugent_001,﻿Rev.,﻿Nugent,,,"﻿attend Oroville, Smartsville, Colusi, Foster's Bar, Bear River, Long Bar, Brown's Valley",,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany,﻿CA,﻿CA,39.4692306,-120.8429926,﻿gra.ca.0021,﻿church attended from Downiville,﻿once a month,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0057,﻿church,not recorded,English,,,,﻿Butte County,﻿Butte County,﻿Oroville,﻿Oroville,﻿CA,﻿CA,39.5133153,-121.5577086,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0067,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Smartsville,﻿Smartsville,﻿CA,﻿CA,39.2077473,-121.2988335,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0018,﻿church,not recorded,English,,,,﻿Colusi County,﻿Colusa County,﻿Colusi,﻿Colusa,﻿CA,﻿CA,39.2143343,-122.0094175,﻿gra.ca.0001,﻿visited from Marysville,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0029,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Foster's Bar,,﻿CA,﻿CA,39.2547027,-121.3998995,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0043,﻿church,not recorded,English,,,,﻿Yuba County,,﻿Johnston's Crossing of Bear River,,﻿CA,﻿CA,38.99292202,-121.4569762,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0119,﻿church,not recorded,English,,,,,,﻿Long Bar,﻿Long Bar,﻿CA,﻿CA,38.99292202,-121.4569762,,﻿attended from Marysville,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0007,﻿church,not recorded,English,,,,﻿Yuba County,﻿Yuba County,﻿Brown's Valley,﻿Browns Valley,﻿CA,﻿CA,39.2421139,-121.4091297,﻿gra.ca.0001,﻿attended from Marysville,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0101,﻿church,﻿St. Mary of the Mountain,English,,,,﻿Storey County,﻿Storey County,﻿Virginia City,﻿Virginia City,﻿NV,﻿NV,39.3095135,-119.6499793,,,,﻿pat_manogue_001,﻿Rev.,﻿P. Manogue,,﻿pastor,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0120,﻿church,﻿Immaculate Conception,English,,,,,,﻿Virginia City,﻿Virginia City,﻿NV,﻿NV,39.3095135,-119.6499793,,,,﻿pet_magagnotto_001,﻿Very. Rev.,﻿Peter Magagnotto,,﻿pastor,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0072,﻿church,not recorded,English,,,,﻿Humboldt County,﻿Humboldt County,﻿Table Bluff,﻿Table Bluff,﻿NV,﻿CA,40.6581838,-124.2164464,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0074,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Trinity Centre,﻿Trinity Center,﻿NV,﻿CA,40.9850816,-122.7059008,,﻿attended by Rev. P. O'Reilly,,,,,,,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0061,﻿church,not recorded,English,,,,﻿Shasta County,﻿Tehama County,﻿Red Bluff,﻿Red Bluff,﻿NV,﻿CA,40.1784886,-122.2358302,,﻿attended by Rev. P. O'Reilly,,,,,,﻿pastor,,,,,,1865.0,﻿,﻿,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
