instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.3182651,-77.7743338,,,,﻿jam_gibbons_001,﻿Rt. Rev.,﻿James Gibbons,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.3182651,-77.7743338,,,,﻿mar_s_gross_001,﻿Rev.,﻿Mark S. Gross,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.3182651,-77.7743338,,,,﻿jam_a_corcoran_001,﻿Very Rev.,﻿James A. Corcoran,﻿D.D.,,"﻿is absent in Rome, having been appointed by the Prelates of the United States to represent them, as Theologian, at the approaching General Council.",,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0002,﻿church,not recorded,English,,,,﻿Cumberland County,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,,35.0523673,-78.8783774,﻿ral.nc.0001,﻿Visited from Wilmington,﻿once a month,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0003,﻿church,not recorded,English,,,,﻿New-Hanover County,﻿Harnett County,﻿Lillington,﻿Lillington,﻿NC,,35.399327,-78.8158528,﻿ral.nc.0001,﻿Visited from Wilmington,﻿at stated intervals,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0004,﻿church,﻿St. Paul's,English,,,,﻿Craven County,﻿Craven County,﻿New-Berne,﻿New Bern,﻿NC,,35.0845617,-77.0680216,,,,﻿har_p_northrop_001,﻿Rev.,﻿Harry P. Northrop,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0018,﻿church,﻿St. John the Baptist,English,,,,﻿Wake County,﻿Wake County,﻿Raleigh,﻿Raleigh,﻿NC,,35.5907163,-78.600607,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0005,﻿church,﻿St. Ann's,English,,,,﻿Chowan County,﻿Chowan County,﻿Edenton,﻿Edenton,﻿NC,,36.0627866,-76.6080341,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0006,﻿church,not recorded,English,﻿station,,,﻿Wayne County,﻿Wayne County,﻿Goldsboro,﻿Goldsboro,﻿NC,,35.3848841,-77.9927651,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0019,﻿church,not recorded,English,﻿station,,,,,﻿Company Shops,﻿Burlington,﻿NC,,36.095987,-79.4371773,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0020,﻿church,not recorded,English,﻿station,,,,,﻿Greensboro,﻿Greensboro,﻿NC,,36.0726354,-79.7919754,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0007,﻿church,not recorded,English,﻿station,,,﻿Wilson County,﻿Wilson County,﻿Wilson,﻿Wilson,﻿NC,,35.7258286,-77.9111237,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0008,﻿church,not recorded,English,﻿station,,,﻿Combe County,﻿Edgecombe County,﻿Tarboro,﻿Tarboro,﻿NC,,35.8968236,-77.5358049,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0009,﻿church,not recorded,English,﻿station,,,﻿Halifax County,﻿Halifax County,﻿Halifax,﻿Halifax,﻿NC,,36.328486,-77.5894199,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0021,﻿church,not recorded,English,﻿station,,,﻿Halifax County,﻿Halifax County,﻿Littleton,﻿Littleton,﻿NC,,36.4345934,-77.9119317,﻿ral.nc.0004,﻿Attended from New-Berne,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0011,﻿church,﻿St. Peter's,English,,,,﻿Mecklenburg County,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,,35.167851,-80.7282461,,,﻿Divine service first and last Sunday of each month,﻿law_p_oconnell_001,﻿Rev.,﻿Lawrence P. O'Connell,,﻿Pastor,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0012,﻿church,﻿Church of the B.V.M. and St. Joseph,English,,,,﻿Gaston County,﻿Gaston County,﻿Gaston,﻿Gastonia,﻿NC,,35.2621735,-81.1870849,﻿ral.nc.0011,﻿Attended from Charlotte,,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
﻿ral.nc.0014,﻿church,not recorded,English,﻿Church in course of erection,,,﻿Cabarrus County,﻿Cabarrus County,﻿Corcord,﻿Concord,﻿NC,,35.3833333,-80.5630556,﻿ral.nc.0011,﻿Attended from Charlotte,﻿occasionally,,,,,,,,,,,1869,﻿,﻿,﻿Vicariate-Apostolic North Carolina,VANorthCarolina
