instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿vin.in.0001,﻿church,﻿St. Frances Xavier,English,,,,,,﻿Vincennes,,﻿IN,,38.679024,-87.53415,,,,﻿sim_g_bruté_901,﻿Right Rev.,﻿Simon G. Bruté,﻿D. D.,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0001,﻿church,﻿St. Frances Xavier,English,,,,﻿Davies County,,﻿Black Oak Ridge,,﻿IN,,38.679024,-87.53415,,,,﻿sim_lalumiere_901,﻿Rev.,﻿Simon Lalumiere,,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0001,﻿church,﻿St. Frances Xavier,English,,﻿Duchee River,,﻿Davies County,,﻿Black Oak Ridge,,﻿IN,,38.679024,-87.53415,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0081,﻿church,not recorded,English,,,,,,﻿Logansport,,﻿IN,,40.75247502,-86.37526621,,,﻿occasionally,﻿s_t_badin_901,﻿Rev.,﻿S. T. Badin,,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0001,﻿church,not recorded,English,﻿church not yet dedicated,,,,,﻿Fort Wayne,,﻿IN,,40.75247502,-86.37526621,,﻿visited by the Rev. S. T. Badin,﻿occasionally,,,,,,,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0001,﻿church,not recorded,English,﻿church not yet dedicated,﻿Racoon Creek,,,,﻿Fort Wayne,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,﻿Vacant,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0055,﻿church,not recorded,English,,,,,,﻿Independence,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,﻿Vacant,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿for.in.0055,﻿church,not recorded,English,,,,,,﻿Mossissinoway,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,﻿Vacant,,,,,1835,,,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.0093,﻿church,not recorded,English,,,,,,﻿Mount Pleasant,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,,,,,,1835,"﻿https://en.wikipedia.org/wiki/Mount_Pleasant_Township,_Delaware_County,_Indiana",,﻿,﻿,﻿Vincennes,Vincennes
﻿vin.in.9000,﻿convent,﻿St. Clare's Convent,English,,,,,,﻿Vincennes,,﻿IN,,40.75247502,-86.37526621,,,,,,,,,,,,﻿manage[d] and govern[ed] [by] Sisters of Charity,,1835,,"﻿English, French, Arithmetic, Geography, History, Rhetoric, Plain Sewing, Marking and Ornamental Needle-work, Drawing, Painting in water colors, Fancy work and Embroidery, Spelling, Reading, Writing, Grammar and Syntax, music (piano forte and guitar)",﻿,﻿,﻿Vincennes,Vincennes
