instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿5th street,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.0780503,-80.7270944,,,,﻿ric_v_whelan_001,﻿Rt. Rev.,﻿Richard V. Whelan,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿5th street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.0780503,-80.7270944,,,,﻿joh_sullivan_002,﻿Rev.,﻿John Sullivan,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿5th street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.0780503,-80.7270944,,,,﻿hen_hoffman_002,﻿Rev.,﻿Henry Hoffman,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0002,﻿church,﻿St. Alphonsus',﻿German,"﻿Residence, in the rear of the church","﻿Market Street, Centre Wheeling",,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.0610267,-80.7237172,,,,﻿pet_kreusch_001,﻿Rev.,﻿M. Kreusch,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0081_02,﻿chapel,﻿Chapel of St. Joseph,English,,﻿Wheeling Hospital,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.066536,-80.719592,﻿whe.va.0001,﻿Attended from the Cathedral,﻿Daily,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0005,﻿church,not recorded,English,,,,,﻿Washington County,﻿Abingdon,﻿Abingdon,,﻿VA,36.7098335,-81.9773482,﻿whe.va.0075,﻿Attended from Wytheville,﻿monthly,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0007,﻿church,not recorded,English,,,,,﻿Brooke County,﻿Bethany,﻿Bethany,﻿VA,﻿WV,40.205627,-80.5567384,﻿whe.va.0070,﻿Attended from Wellsburgh,﻿monthly,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0008,﻿church,not recorded,English,,,,﻿Upshur County,﻿Randolph County,﻿Beverly,,﻿VA,﻿WV,38.8092552,-80.0087746,﻿whe.va.0073,﻿Attended from Weston,﻿monthly,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0009,﻿station,not recorded,English,,﻿Braxton Court-House,,,﻿Braxton County,﻿Braxton Court-House,,﻿VA,﻿WV,38.7023371,-80.7214417,,,﻿attended occasionally,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0010,﻿church,not recorded,English,,,,,﻿Harrison County,﻿Bridgeport,﻿Bridgeport,﻿VA,﻿WV,39.2864787,-80.2561981,﻿whe.va.0018,﻿Attended from Clarksburgh,﻿monthly,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0011,﻿church,not recorded,English,,﻿on Tennesse line,,,,﻿Bristol,﻿Bristol,,﻿VA,36.595142,-82.1887368,﻿whe.va.0075,﻿Attended from Wytheville,,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0012,﻿church,not recorded,English,,,,﻿Putnam County,﻿Putnam County,﻿Buffalo,﻿Buffalo,﻿VA,﻿WV,38.6175863,-81.9818042,﻿whe.va.0039,﻿Attended from Mason City,,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0014,﻿church,not recorded,English,,,,,﻿Marshall County,﻿Cameron,﻿Cameron,﻿VA,﻿WV,38.5976262,-80.4549026,﻿whe.va.0042,﻿Attended from Moundsville,﻿monthly,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0016,﻿church,not recorded,English,,,,,﻿Kanawha County,﻿Charleston,﻿Charleston,﻿VA,﻿WV,38.3498195,-81.6326234,﻿whe.va.0039,﻿Attended from Mason City,﻿monthly,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0017,﻿church,not recorded,English,,,,,﻿Wood County,﻿Claysville,﻿Davisville,﻿VA,﻿WV,39.2011873,-81.4984554,﻿whe.va.0047,﻿Attended from Parkersburgh,﻿monthly,,,,,,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
﻿whe.va.0018,﻿church,﻿Church of the Immaculate Conception,English,,,,,﻿Harrison County,﻿Clarksburgh,﻿Clarksburg,﻿VA,﻿WV,39.2795056,-80.3325743,,,,﻿dan_oconnor_002,﻿Rev.,﻿Daniel O'Connor,,﻿Pastor,,,,,,1866,﻿,﻿,﻿Wheeling,Wheeling
